"basisOfRecord","date_year","decimalLatitude","decimalLongitude","eventDate","individualCount","scientificName","id","especie_normalizada","decada"
"HumanObservation",2023,79.1747269918,19.2871920492,"2023-09-04T10:28:00+02:00",NA,"Rissa tridactyla","5c5fe787-14ba-417f-80d8-d70d45f7fe20","Rissa tridactyla",2020
"HumanObservation",2023,65.5427740925,-13.744238994,"2023-06-26T16:32:00+00:00",NA,"Fratercula arctica","5c967872-9ed1-49f7-b351-1dd5a2d85126","Fratercula arctica",2020
"HumanObservation",2023,70.2337166904,31.0397912615,"2023-06-23T17:27:00+02:00",NA,"Rissa tridactyla","5d253618-ff55-48b3-a9a4-48baf31627f4","Rissa tridactyla",2020
"HumanObservation",2023,70.3048579243,31.1998520912,"2023-06-29T11:01:00+02:00",NA,"Rissa tridactyla","5d27ada8-b36c-4494-929d-4335a4d2cd58","Rissa tridactyla",2020
"HumanObservation",2023,76.906,14.9598,"2023-09-26T15:04:00+02:00",NA,"Rissa tridactyla","5d64a767-b871-49ed-ad8e-dac7d888aabe","Rissa tridactyla",2020
"HumanObservation",2023,70.2244258855,31.1414142437,"2023-06-23T15:34:00+02:00",NA,"Fratercula arctica","5db6e38c-a854-4083-a7cf-6b1ba9f2c45a","Fratercula arctica",2020
"HumanObservation",2023,70.2217433538,31.1835898344,"2023-07-01T10:02:00+02:00",NA,"Fratercula arctica","5df95bf4-22f0-4309-aa33-ffe72941dab3","Fratercula arctica",2020
"HumanObservation",2023,66.5469642263,-18.0196956302,"2023-06-03T10:36:00+00:00",NA,"Fratercula arctica","5e3bac3b-f5ab-4b89-95a7-91ffa802d36c","Fratercula arctica",2020
"HumanObservation",2023,68.9587083169,17.1522314411,"2023-07-16T09:01:00+02:00",NA,"Fratercula arctica","5e3c606f-147e-4b26-a9e8-423f2c9f304e","Fratercula arctica",2020
"HumanObservation",2023,76.9943889717,15.7655697186,"2023-06-29T21:33:00+02:00",NA,"Rissa tridactyla","5e4ec8fd-377b-497b-9b63-6a666ee980e9","Rissa tridactyla",2020
"HumanObservation",2023,60.1328666667,-1.0138222167,"2023-05-30T12:20:55+01:00",NA,"Fratercula arctica","5e63168c-d0f2-49bf-807e-6ec3ce274adf","Fratercula arctica",2020
"HumanObservation",2023,63.7983716464,-10.1087036225,"2023-10-03T13:12:00-01:00",NA,"Rissa tridactyla","5f265b02-5294-48b4-ac16-9968bdf17aca","Rissa tridactyla",2020
"HumanObservation",2023,70.3657253575,31.1190365601,"2023-06-23T16:21:57+02:00",NA,"Fratercula arctica","5f8e01c2-470f-4fa3-baf5-930dd9cab1bc","Fratercula arctica",2020
"HumanObservation",2023,79.891183,9.986572,"2023-06-28T03:58:30","1","Balaenoptera musculus","5fa933ef-3856-4a31-94d1-66ef9a092ba2","Balaenoptera musculus",2020
"HumanObservation",2023,71.0580341522,25.3648300013,"2023-06-30",NA,"Fratercula arctica","5ffe4499-9884-41d0-aa00-331c3bdfcb38","Fratercula arctica",2020
"HumanObservation",2023,64.9661023784,-23.947780505,"2023-06-06T15:54:00+00:00",NA,"Physeter macrocephalus","6007f80d-43fb-4e23-be32-a2da97da4278","Physeter macrocephalus",2020
"HumanObservation",2023,65.5224459753,-24.5091699065,"2023-06-13T14:31:01+00:00",NA,"Fratercula arctica","601ae179-3a3e-4fce-b816-fd9080102b0d","Fratercula arctica",2020
"HumanObservation",2023,79.7387768632,10.9891160321,"2023-06-18T15:24:00+02:00",NA,"Rissa tridactyla","6047220c-007b-4e2b-8d1c-da56921140a0","Rissa tridactyla",2020
"HumanObservation",2023,70.306843117,31.052413209,"2023-06-23T15:05:00+02:00",NA,"Rissa tridactyla","606e6440-d274-49ec-bcfb-c5be6b34303b","Rissa tridactyla",2020
"HumanObservation",2023,64.7692215443,-23.6179434601,"2023-06-02T13:11:41+00:00",NA,"Rissa tridactyla","60af2bdc-700f-4175-ba69-bc446cf0f952","Rissa tridactyla",2020
"HumanObservation",2023,68.0835846969,13.3880075663,"2023-07-23T11:10:32+02:00",NA,"Rissa tridactyla","60cac8eb-b37c-4750-830d-1b4f236c2d32","Rissa tridactyla",2020
"HumanObservation",2023,64.0902424974,-21.9300654174,"2023-07-03T16:40:00+00:00",NA,"Rissa tridactyla","614e43dd-3063-464d-b762-4285842cd510","Rissa tridactyla",2020
"HumanObservation",2023,69.419250259,16.2276970352,"2023-03-24T12:05:00+01:00",NA,"Physeter macrocephalus","6159409d-b5cd-4f61-976c-87026e9c0a35","Physeter macrocephalus",2020
"HumanObservation",2023,70.2263707572,31.0736344573,"2023-06-23T17:39:00+02:00",NA,"Rissa tridactyla","6163e738-013d-4e86-bff7-9549812fcf33","Rissa tridactyla",2020
"HumanObservation",2023,66.3965695376,-22.2979545597,"2023-08-09T22:30:22+00:00",NA,"Physeter macrocephalus","620c72dd-6ab3-46fa-9196-3762aecb9a45","Physeter macrocephalus",2020
"HumanObservation",2023,66.551133003,-18.0117417261,"2023-06-21T19:35:00+00:00",NA,"Rissa tridactyla","622812e3-4680-4a70-8a43-d683d04c06f7","Rissa tridactyla",2020
"HumanObservation",2023,78.1732287891,13.9200821069,"2023-06-24T22:46:00+02:00",NA,"Rissa tridactyla","62aa9fd8-1415-4510-be57-d2b51b3ceb9f","Rissa tridactyla",2020
"HumanObservation",2023,66.1041237621,-17.7225336175,"2023-09-22T16:15:00+00:00",NA,"Rissa tridactyla","62dabb79-6427-438f-aec0-948867331d2b","Rissa tridactyla",2020
"HumanObservation",2023,70.275099889,31.0129243774,"2023-06-23T16:59:00+02:00",NA,"Fratercula arctica","62f164bd-6fac-49bd-9ed1-7a8836b16c59","Fratercula arctica",2020
"HumanObservation",2023,78.3640632194,16.1251438786,"2023-06-02T15:28:00+02:00",NA,"Fratercula arctica","62fb63ac-b714-44da-86e1-83614d80d070","Fratercula arctica",2020
"HumanObservation",2023,66.3626933448,-18.1382881274,"2023-07-09T11:09:00+00:00",NA,"Fratercula arctica","630ebfd9-3e57-4c46-92d0-fcda16a3f94b","Fratercula arctica",2020
"HumanObservation",2023,77.8749725,20.9751822,"2023-07-18T20:27:00+02:00",NA,"Rissa tridactyla","631eff87-fd0c-4282-b82f-3a6e799d447d","Rissa tridactyla",2020
"HumanObservation",2023,65.5423034346,-13.754408385,"2023-06-05T03:31:00+00:00",NA,"Rissa tridactyla","6323cc75-f816-4bc9-8e75-cbf80e189735","Rissa tridactyla",2020
"HumanObservation",2023,65.6372799726,-24.2688019531,"2023-07-02T16:22:00+00:00",NA,"Rissa tridactyla","63337b4f-7dab-49db-8835-a1c39de03b7c","Rissa tridactyla",2020
"HumanObservation",2023,70.3228482865,31.1440955735,"2023-06-23T16:38:39+02:00",NA,"Fratercula arctica","638867fb-a4c3-4e15-9474-e9970fc11916","Fratercula arctica",2020
"HumanObservation",2023,65.5015666602,-24.5275081588,"2023-06-01T19:26:00+00:00",NA,"Rissa tridactyla","63f6b87d-9863-4c21-a291-dae14351b4eb","Rissa tridactyla",2020
"HumanObservation",2023,63.42766523,-20.30104182,"2023-08-21T15:38:05+00:00",NA,"Fratercula arctica","6433f986-e2a2-4622-b117-83de12c81076","Fratercula arctica",2020
"HumanObservation",2023,70.3600496216,31.1198089574,"2023-06-23T17:05:00+02:00",NA,"Fratercula arctica","64606780-7a67-4f7c-889c-9d8868f62f54","Fratercula arctica",2020
"HumanObservation",2023,63.5159720398,-20.1306940551,"2023-07-03T17:29:00+00:00",NA,"Rissa tridactyla","646d63d3-ac7e-412d-b963-95620d61d4dc","Rissa tridactyla",2020
"HumanObservation",2023,58.87997,11.0990888333,"2023-10-17T09:19:19+02:00",NA,"Fratercula arctica","654deb5d-f9d3-4093-a23f-956579ace97d","Fratercula arctica",2020
"HumanObservation",2023,70.3507280224,31.1852753369,"2023-06-23T16:54:00+02:00",NA,"Fratercula arctica","65646da9-eb60-4750-9734-2cd0fb93c74e","Fratercula arctica",2020
"HumanObservation",2023,63.405012305,-19.1309456527,"2023-08-11T17:54:07+00:00",NA,"Fratercula arctica","65fed974-51e4-430e-bf36-1d61e37329d0","Fratercula arctica",2020
"HumanObservation",2023,63.4072016667,-20.274321945,"2023-07-24T15:40:00+00:00",NA,"Rissa tridactyla","6621ad30-429f-4f86-9332-980c97a04c3b","Rissa tridactyla",2020
"HumanObservation",2023,66.1431373442,-16.9502737804,"2023-06-18T13:42:00+00:00",NA,"Fratercula arctica","664d32ab-a32a-442b-b91a-698094a4d6e4","Fratercula arctica",2020
"HumanObservation",2023,70.2839463729,31.1499874694,"2023-06-23T16:37:00+02:00",NA,"Fratercula arctica","666151a8-df4c-48d9-a92a-52c47febc959","Fratercula arctica",2020
"HumanObservation",2023,79.7789217953,18.3195234981,"2023-07-05T22:39:00+02:00",NA,"Balaenoptera physalus","6665b749-5a46-4e6b-bc99-6517185b4511","Balaenoptera physalus",2020
"HumanObservation",2023,63.1459950542,7.6315454679,"2023-07-06T14:47:36+02:00",NA,"Rissa tridactyla","672cf500-8db9-48ff-abbe-ea8d27692b14","Rissa tridactyla",2020
"HumanObservation",2023,64.4676317202,-18.0774521828,"2023-10-03T21:22:00+00:00",NA,"Rissa tridactyla","6747d15a-a417-4dc5-a29e-235322ece6c9","Rissa tridactyla",2020
"HumanObservation",2023,65.5433461323,-13.7572892289,"2023-06-04T09:31:00+00:00",NA,"Rissa tridactyla","67b294ed-ee60-4df8-9bea-843f3c42ead6","Rissa tridactyla",2020
"HumanObservation",2023,71.177308,25.745885,"2023-06-30","1","Balaenoptera physalus","68150381-b4c0-4367-84f5-4b5bbfacb1c9","Balaenoptera physalus",2020
"HumanObservation",2023,70.3595700223,31.0278893119,"2023-06-23T15:34:00+02:00",NA,"Fratercula arctica","68494555-7513-4c31-a5f0-eb4e22f9171b","Fratercula arctica",2020
"HumanObservation",2023,77.5532457478,15.0595511236,"2023-07-09T10:08:00+02:00",NA,"Rissa tridactyla","68a04988-9327-4cc2-ad1e-99722b882f3a","Rissa tridactyla",2020
"HumanObservation",2023,78.3653996784,16.1352627952,"2023-07-13T13:48:00+02:00",NA,"Fratercula arctica","692134de-2c32-4c92-9b5b-e6609b90704d","Fratercula arctica",2020
"HumanObservation",2023,64.0487088883,-16.180860555,"2023-07-22T13:30:00+00:00",NA,"Rissa tridactyla","6a07ca40-012c-4fb9-8cb4-15b62cf6ad2f","Rissa tridactyla",2020
"HumanObservation",2023,64.0484463231,-16.1803888225,"2023-07-02T04:05:00+00:00",NA,"Rissa tridactyla","6a3885bb-f413-4d29-bc3b-a7d81a0a6288","Rissa tridactyla",2020
"HumanObservation",2023,57.3654975889,9.6999645231,"2023-12-27T10:57:43+01:00",NA,"Fratercula arctica","6a4f2543-8360-48c4-b284-167c26c29364","Fratercula arctica",2020
"HumanObservation",2023,64.8179977206,-24.0039626302,"2023-05-31T14:26:00+00:00",NA,"Physeter macrocephalus","6a519194-91f2-4ef8-a42d-b4a30525f10f","Physeter macrocephalus",2020
"HumanObservation",2023,78.2645757641,21.9209001608,"2023-07-07T08:36:00+02:00",NA,"Rissa tridactyla","6ab64f7c-cc00-47a3-b99b-a3fed892e968","Rissa tridactyla",2020
"HumanObservation",2023,58.726786492,-3.349527897,"2023-08-16T10:17:00+01:00",NA,"Rissa tridactyla","6ba16376-29e5-466a-b2f3-94e1a58d7f8e","Rissa tridactyla",2020
"HumanObservation",2023,62.3274446406,-6.9410741027,"2023-07-13T13:28:00+01:00",NA,"Fratercula arctica","6bf34b83-28eb-4fda-a427-88fef41ce688","Fratercula arctica",2020
"HumanObservation",2023,66.3515100319,12.3417490074,"2023-03-14T09:15:24+01:00",NA,"Rissa tridactyla","6bf94939-f215-47eb-ae07-53015133ae05","Rissa tridactyla",2020
"HumanObservation",2023,79.8068073433,11.9292738829,"2023-06-19T16:10:00+02:00",NA,"Rissa tridactyla","6c8d11f9-caeb-4c5f-90de-89129aa8fad3","Rissa tridactyla",2020
"HumanObservation",2023,79.7334324333,12.2842268162,"2023-07-12T17:17:00+02:00",NA,"Rissa tridactyla","6ca3edb0-ca4e-40bb-94bf-4a130d5a59a6","Rissa tridactyla",2020
"HumanObservation",2023,79.2665465484,11.5357194536,"2023-06-09T17:41:00+02:00",NA,"Rissa tridactyla","6ce39f4d-1043-48d7-882a-d9cf97e1fc48","Rissa tridactyla",2020
"HumanObservation",2023,62.3682966667,-6.8113466667,"2023-07-01T10:02:34+01:00",NA,"Fratercula arctica","6d0277ff-2263-408a-afb9-0dc34d21f7c5","Fratercula arctica",2020
"HumanObservation",2023,65.4998517188,-24.5269267512,"2023-06-01T08:13:00+00:00",NA,"Fratercula arctica","6d1f4664-64bd-4d90-a818-97b98b01e742","Fratercula arctica",2020
"HumanObservation",2023,70.2804214326,31.093185154,"2023-06-23T17:26:00+02:00",NA,"Rissa tridactyla","6d3d2e4d-0ab4-46b2-8356-9790cdf0569f","Rissa tridactyla",2020
"HumanObservation",2023,64.174446106,-21.9552345276,"2023-08-16T08:52:16+00:00",NA,"Fratercula arctica","6d470203-db78-4857-915e-c3309a24590d","Fratercula arctica",2020
"HumanObservation",2023,78.259975377,21.9530501117,"2023-09-12T09:16:14+02:00",NA,"Rissa tridactyla","6d891ab0-f71d-425f-bda0-27e1b89281e2","Rissa tridactyla",2020
"HumanObservation",2023,70.3980192037,31.1915670614,"2023-06-23T15:27:00+02:00",NA,"Fratercula arctica","6d8c0d5a-0143-4320-8285-5f727460ed0d","Fratercula arctica",2020
"HumanObservation",2023,71.078232,-8.679199,"2023-09-14T17:42:49","1","Balaenoptera physalus","6dcc61f3-68d0-4211-bd23-1e19d496de2c","Balaenoptera physalus",2020
"HumanObservation",2023,61.9560203,-6.8830338,"2023-07-01T12:47:00+01:00",NA,"Fratercula arctica","6dcee722-6712-4382-91aa-be1807c015df","Fratercula arctica",2020
"HumanObservation",2023,64.2102628248,-22.1387794845,"2023-06-08T12:46:40+00:00",NA,"Fratercula arctica","6e0ede06-2bb0-49eb-abbd-cba5da844ade","Fratercula arctica",2020
"HumanObservation",2023,65.003543,-23.819733,"2023-06-06T15:54:19","1","Physeter macrocephalus","6e585b6c-d873-47ec-ba50-51d05f039779","Physeter macrocephalus",2020
