taxonID	identifier	title	format	datasetID	subject
urn:lsid:marinespecies.org:taxname:218	NCBI:txid42655	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:219	NCBI:txid183496	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:220	NCBI:txid186446	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:222	NCBI:txid41671	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:224	NCBI:txid41671	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:226	NCBI:txid52932	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:228	NCBI:txid278202	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:229	NCBI:txid55708	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:230	NCBI:txid6581	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:232	NCBI:txid282294	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:233	NCBI:txid6585	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:235	NCBI:txid52798	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:236	NCBI:txid40128	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:237	NCBI:txid61354	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:241	NCBI:txid59237	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:243	NCBI:txid6592	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:245	NCBI:txid278205	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:247	NCBI:txid6602	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:248	NCBI:txid52623	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:250	NCBI:txid114949	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:251	NCBI:txid61359	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:252	NCBI:txid52914	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:253	NCBI:txid114952	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:254	NCBI:txid65386	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:256	NCBI:txid228488	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:411	NCBI:txid47122	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:412	NCBI:txid52919	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:413	NCBI:txid1077248	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:415	NCBI:txid358446	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:418	NCBI:txid291850	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:432	NCBI:txid32586	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:435	NCBI:txid39429	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:443	NCBI:txid6466	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:447	NCBI:txid6527	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:503	NCBI:txid63671	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:558	NCBI:txid6040	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:559	NCBI:txid27929	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:793	NCBI:txid6157	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:794	NCBI:txid166384	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:798	NCBI:txid37945	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:799	NCBI:txid6231	"To GenBank (2 nucleotides; 0 proteins)"		ncbi	
urn:lsid:marinespecies.org:taxname:801	NCBI:txid3041	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:802	NCBI:txid3166	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:803	NCBI:txid31306	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:808	NCBI:txid33104	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:813	NCBI:txid3183	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:820	NCBI:txid135250	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:824	NCBI:txid31306	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:827	NCBI:txid3113	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:829	NCBI:txid2870	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:830	NCBI:txid2870	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:839	NCBI:txid2873	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:842	NCBI:txid2877	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:844	NCBI:txid3009	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:845	NCBI:txid2886	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:852	NCBI:txid2763	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:857	NCBI:txid29216	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:860	NCBI:txid2802	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:871	NCBI:txid28017	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:876	NCBI:txid31468	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:878	NCBI:txid2819	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:882	NCBI:txid6340	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:883	NCBI:txid6341	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:884	NCBI:txid46603	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:885	NCBI:txid46590	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:888	NCBI:txid273013	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:889	NCBI:txid46589	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:890	NCBI:txid105387	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:891	NCBI:txid725120	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:892	NCBI:txid6348	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:893	NCBI:txid104701	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:895	NCBI:txid65495	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:897	NCBI:txid725113	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:898	NCBI:txid279647	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:899	NCBI:txid104716	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:900	NCBI:txid6373	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:901	NCBI:txid6362	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:902	NCBI:txid46603	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:903	NCBI:txid251440	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:904	NCBI:txid136630	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:905	NCBI:txid46590	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:906	NCBI:txid152567	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:908	NCBI:txid273013	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:912	NCBI:txid195213	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:913	NCBI:txid46599	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:914	NCBI:txid46596	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:915	NCBI:txid397578	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:916	NCBI:txid273024	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:918	NCBI:txid6378	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:919	NCBI:txid46590	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:920	NCBI:txid278013	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:921	NCBI:txid51292	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:922	NCBI:txid42115	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:923	NCBI:txid61845	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:924	NCBI:txid36122	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:925	NCBI:txid195271	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:931	NCBI:txid195257	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:933	NCBI:txid758488	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:934	NCBI:txid3065382	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:938	NCBI:txid45664	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:939	NCBI:txid46593	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:942	NCBI:txid1210442	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:943	NCBI:txid104728	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:944	NCBI:txid115831	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:946	NCBI:txid115834	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:948	NCBI:txid122238	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:950	NCBI:txid39820	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:951	NCBI:txid1699850	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:952	NCBI:txid39821	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:953	NCBI:txid221999	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:954	NCBI:txid3039173	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:956	NCBI:txid36119	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:957	NCBI:txid222060	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:958	NCBI:txid397572	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:959	NCBI:txid588354	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:960	NCBI:txid104701	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:961	NCBI:txid394753	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:962	NCBI:txid1649655	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:965	NCBI:txid169110	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:966	NCBI:txid104737	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:967	NCBI:txid104719	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:969	NCBI:txid65492	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:971	NCBI:txid160440	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:972	NCBI:txid272733	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:974	NCBI:txid36131	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:975	NCBI:txid39832	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:976	NCBI:txid279648	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:978	NCBI:txid104716	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:979	NCBI:txid36125	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:980	NCBI:txid104750	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:981	NCBI:txid6374	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:983	NCBI:txid36113	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:985	NCBI:txid6366	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:988	NCBI:txid51280	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:992	NCBI:txid36116	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:993	NCBI:txid188465	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:995	NCBI:txid36128	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:996	NCBI:txid115847	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1028	NCBI:txid27945	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1051	NCBI:txid6199	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1065	NCBI:txid6656	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1066	NCBI:txid6657	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1067	NCBI:txid84343	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1071	NCBI:txid6681	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1076	NCBI:txid6665	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1078	NCBI:txid6670	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1079	NCBI:txid72039	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1080	NCBI:txid6830	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1082	NCBI:txid6675	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1083	NCBI:txid116174	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1086	NCBI:txid72041	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1087	NCBI:txid75389	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1089	NCBI:txid6682	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1090	NCBI:txid6820	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1091	NCBI:txid84318	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1100	NCBI:txid6833	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1101	NCBI:txid84308	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1102	NCBI:txid41212	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1103	NCBI:txid84310	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1104	NCBI:txid72033	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1106	NCBI:txid84311	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1107	NCBI:txid6676	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1108	NCBI:txid37902	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1109	NCBI:txid37909	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1128	NCBI:txid6816	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1129	NCBI:txid75394	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1130	NCBI:txid6683	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1131	NCBI:txid29979	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1133	NCBI:txid75398	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1135	NCBI:txid6821	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1137	NCBI:txid27412	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1139	NCBI:txid75402	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1195	NCBI:txid155698	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1205	NCBI:txid44328	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1206	NCBI:txid116670	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1249	NCBI:txid140493	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1250	NCBI:txid1919246	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1251	NCBI:txid50341	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1261	NCBI:txid37538	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1267	NCBI:txid6073	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1268	NCBI:txid6433	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1269	NCBI:txid6427	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1271	NCBI:txid43120	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1274	NCBI:txid6843	"To GenBank (0 nucleotides; 28 proteins)"		ncbi	
urn:lsid:marinespecies.org:taxname:1276	NCBI:txid42241	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1277	NCBI:txid61985	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1278	NCBI:txid6960	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1292	NCBI:txid6101	"To GenBank (10 nucleotides; 0 proteins)"		ncbi	
urn:lsid:marinespecies.org:taxname:1293	NCBI:txid6218	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1294	NCBI:txid6225	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1295	NCBI:txid216209	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1296	NCBI:txid216208	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1298	NCBI:txid41324	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1300	NCBI:txid6854	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1302	NCBI:txid57294	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1304	NCBI:txid7540	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1305	NCBI:txid7553	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1307	NCBI:txid50557	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1316	NCBI:txid41165	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1317	NCBI:txid318493	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1321	NCBI:txid242543	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1327	NCBI:txid5776	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1328	NCBI:txid136457	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1329	NCBI:txid200887	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1330	NCBI:txid33677	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1337	NCBI:txid6074	"To GenBank (0 nucleotides; 6 proteins)"		ncbi	
urn:lsid:marinespecies.org:taxname:1340	NCBI:txid6102	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1341	NCBI:txid6132	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1348	NCBI:txid33829	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1349	NCBI:txid6933	"To Genbank"		ncbi	
urn:lsid:marinespecies.org:taxname:1358	NCBI:txid373319	"To Genbank"		ncbi	
