basisOfRecord,date_year,decimalLatitude,decimalLongitude,eventDate,individualCount,scientificName,id,especie_normalizada,decada,traffic_at_point,traffic_buffer_mean
HumanObservation,2023,63.4386133639,-20.3018240129,2023-07-24T19:34:00+00:00,,Rissa tridactyla,acebc69c-5c6e-4929-b0c8-3ec123b6a81a,Rissa tridactyla,2020,5.957663536071777,49.8538932800293
HumanObservation,2023,63.4450266958,-20.2614583281,2023-07-24T14:29:00+00:00,,Fratercula arctica,ad233410-987b-4313-b786-c75f90c00eb3,Fratercula arctica,2020,13177.1298828125,50.4283332824707
HumanObservation,2023,64.176098718,-21.8848326271,2023-07-23T22:11:12+00:00,,Fratercula arctica,adcc08c0-8258-4ea3-adeb-7a85d3b72456,Fratercula arctica,2020,16.68599510192871,126.24374389648438
HumanObservation,2023,62.5332194146,5.7592809241,2023-07-16T13:31:25+02:00,,Fratercula arctica,ae35409c-93cb-4f68-9a72-4db8e9bd5f89,Fratercula arctica,2020,1.3006141185760498,2.2341010570526123
HumanObservation,2023,66.0475166667,-22.827055,2023-07-24T11:34:35+00:00,,Fratercula arctica,aeb73501-76ef-431d-833f-00aab0950623,Fratercula arctica,2020,3.8011436462402344,31.220014572143555
HumanObservation,2023,63.4480098239,-20.2477585621,2023-05-29T13:50:00+00:00,,Rissa tridactyla,aecea04c-d09a-4a2e-933f-6bbac52c053b,Rissa tridactyla,2020,99.29672241210938,50.8785514831543
HumanObservation,2023,66.5327157524,-17.9967240541,2023-07-20T14:40:00+00:00,,Fratercula arctica,af4bd940-2a3a-4a79-aaa0-ecf9dc8c0156,Fratercula arctica,2020,1.5105878114700317,14.761794090270996
HumanObservation,2023,59.8545598997,-1.2745954997,2023-07-16T12:09:42+01:00,,Fratercula arctica,af9bab4b-3bca-4282-b3b3-9e40649fe16d,Fratercula arctica,2020,0.6041481494903564,1.8420878648757935
HumanObservation,2023,63.4039290366,-19.1040226445,2023-08-11T18:28:46+00:00,,Fratercula arctica,b13d8c32-3566-4e0c-8a15-ff945322b1a0,Fratercula arctica,2020,0.0063093360513448715,0.9070271253585815
HumanObservation,2023,66.5376672217,-18.010714445,2023-07-20T13:37:00+00:00,,Fratercula arctica,b1605d89-93df-4bb1-a1b3-bd8da4d80cc1,Fratercula arctica,2020,0.6121894121170044,14.761794090270996
HumanObservation,2023,64.975674,-24.088898,2023-06-01T11:30:02,1.0,Physeter macrocephalus,b20811db-ed10-4f1f-ae94-8b37d8470dc4,Physeter macrocephalus,2020,1.2754892110824585,2.9497694969177246
HumanObservation,2023,63.4322189959,-20.2793018705,2023-07-22T12:59:00+00:00,,Rissa tridactyla,b2e0816c-e54a-418e-8a93-3ee7b3b0f6f0,Rissa tridactyla,2020,18.193933486938477,50.13553237915039
HumanObservation,2023,64.7676925,-23.617309445,2023-07-13T17:16:00+00:00,,Rissa tridactyla,b3136324-05d7-40fd-b824-2c0e90878edb,Rissa tridactyla,2020,10.351204872131348,9.029241561889648
HumanObservation,2023,65.1888617111,-14.0159925266,2023-06-07T13:46:00+00:00,,Rissa tridactyla,b3fc1041-930d-467f-82c3-1d34b3344a74,Rissa tridactyla,2020,0.0,21.683053970336914
HumanObservation,2023,64.0705324,-22.6512494,2023-06-15T17:54:00+00:00,,Rissa tridactyla,b46afff9-ba55-4095-a55f-8f146eeebd0f,Rissa tridactyla,2020,1.8488099575042725,53.7739372253418
HumanObservation,2023,63.4002334282,-19.0399101377,2023-08-12T21:30:00+00:00,,Fratercula arctica,b57afa51-f76b-4d72-a8d2-3c971ba2abe6,Fratercula arctica,2020,0.004046692978590727,0.9866159558296204
HumanObservation,2023,59.3727331487,-2.4190089375,2023-07-29T10:29:00+01:00,,Rissa tridactyla,b59e7029-b56b-4e03-8f8c-e116b5e66857,Rissa tridactyla,2020,0.0,0.24691732227802277
HumanObservation,2023,66.076667,-17.55,2023-05-13,1.0,Balaenoptera musculus,b5fa9baf-4fce-4096-b39a-6d2a90f55981,Balaenoptera musculus,2020,9.621062278747559,42.36812973022461
HumanObservation,2023,66.1,-17.5,2023-07-02T14:45:14,1.0,Balaenoptera musculus,b70334c0-2a61-4e98-8f8e-75c3d9bf6d3c,Balaenoptera musculus,2020,5.065154552459717,42.224342346191406
HumanObservation,2023,59.3002944444,-2.8651777778,2023-09-08T13:01:00+01:00,,Fratercula arctica,b73feee8-fedc-4321-a64f-558fec9f2f2f,Fratercula arctica,2020,9.972151756286621,6.584095478057861
HumanObservation,2023,64.7353973,-23.775135,2023-07-07T09:34:00+00:00,,Rissa tridactyla,b7ea6b0f-1f14-47cb-9ed4-ab6bc8e733c4,Rissa tridactyla,2020,0.025411320850253105,7.502353668212891
HumanObservation,2023,58.6403833333,-3.0270221667,2023-07-05T20:39:14+01:00,,Fratercula arctica,b86ffc0a-cc0a-46f4-8e0b-f68b4c04cbb3,Fratercula arctica,2020,2.3191490173339844,2.390902280807495
