year,regional_mean_traffic
2017,0.9390659928321838
2018,1.0400346517562866
2019,1.1562861204147339
2020,1.2886962890625
2021,1.3653548955917358
2022,1.4300711154937744
2023,1.5209416151046753
2024,1.56709885597229
