mean_traffic,n_occurrences
0.00035619898699223995,0
0.0002886137517634779,0
0.0005390562582761049,0
0.0006899102590978146,0
0.0006283955881372094,0
0.002107694512233138,0
0.001894045970402658,0
0.0040259817615151405,0
0.0006977440207265317,0
0.0037269610911607742,0
0.008558209985494614,0
0.004822001326829195,0
0.002927204128354788,0
0.002770747058093548,0
0.002781724091619253,0
0.0038536128122359514,0
0.0012514536501839757,0
0.0012627108953893185,0
0.001147750997915864,0
0.001189529662951827,0
0.001192794181406498,0
0.0005084575386717916,0
0.0010126996785402298,0
0.0014429229777306318,0
0.0022731286007910967,0
0.0022244153078645468,0
0.0013930666027590632,0
0.0008038760861381888,0
0.0005876001087017357,0
0.0007139123044908047,0
0.001697914907708764,0
0.0012401591520756483,0
0.0009672786691226065,0
0.0014474010095000267,0
0.0011842756066471338,0
0.0021578373853117228,0
0.0018296714406460524,0
0.001870590029284358,0
0.0023333022836595774,0
0.0034398678690195084,0
0.014681472443044186,0
0.22149860858917236,0
0.2589857578277588,0
0.5058737993240356,0
16.071937561035156,5
52.947303771972656,9
1.122148871421814,0
0.5550025105476379,0
1.1065223217010498,0
78.053466796875,33
3.082637310028076,10
1.1444909572601318,0
0.8441392183303833,26
0.9727826118469238,1
1.044419527053833,0
0.17036066949367523,0
0.2260303944349289,0
0.07303775101900101,0
0.04293626919388771,0
0.029030567035079002,0
0.013742025941610336,0
0.0006792687345296144,0
0.00023605843307450414,0
0.00048338709166273475,0
0.00028971998835913837,0
0.00034798344131559134,0
0.008328128606081009,0
0.008761672303080559,0
0.005897486116737127,0
0.007284936495125294,0
0.006185371428728104,0
0.008515344001352787,0
0.0047003477811813354,0
0.004041879903525114,0
0.004450354725122452,0
0.0030052002985030413,0
0.0024979563895612955,0
0.0015551039250567555,0
0.002452417276799679,0
0.001872610067948699,0
0.0007019250770099461,0
0.0006546670920215547,0
0.0005852807662449777,0
0.0014296567533165216,0
0.0015134199056774378,0
0.00505258422344923,0
0.0020507273729890585,0
0.0003390783676877618,0
0.0,0
0.0002783660893328488,0
0.0005735073937103152,0
0.0009208021219819784,0
6.200083589646965e-05,0
0.0003753172350116074,0
0.0006137933814898133,0
0.0014942096313461661,0
0.0018633296713232994,0
0.002063473453745246,0
0.002887312788516283,0
0.0043185497634112835,0
0.025223683565855026,0
0.21730312705039978,0
0.3293854594230652,0
0.3213019371032715,0
0.48797646164894104,1
140.11648559570312,2
2.456857204437256,1
0.5746929049491882,0
0.2282475084066391,0
0.18553727865219116,0
18.63968849182129,2
1.4046787023544312,0
0.4563353657722473,0
45.85981369018555,1
1.63357675075531,1
1.0611499547958374,0
0.37723565101623535,0
0.18844322860240936,0
0.23765017092227936,0
0.19841769337654114,0
0.029972687363624573,0
0.015848303213715553,0
0.0006505153723992407,0
0.0006744712591171265,0
0.0012375270016491413,0
0.0018552795518189669,0
0.00023833828163333237,0
0.001974033424630761,0
0.015855804085731506,0
0.004200509749352932,0
0.005651403218507767,0
0.015705619007349014,0
0.013079822063446045,0
0.005260166246443987,0
0.009207457304000854,0
0.005097814369946718,0
0.004694310948252678,0
0.002884158631786704,0
0.0025396118871867657,0
0.0015559035819023848,0
0.0012043719179928303,0
0.0009847544133663177,0
0.00035610116901807487,0
0.00116589548997581,0
0.0007215531077235937,0
0.004814899992197752,0
0.0038769119419157505,0
0.0007883387734182179,0
8.695468568475917e-05,0
0.00032549718162044883,0
0.00035271316301077604,0
0.0005568714113906026,0
0.000422478566179052,0
0.00034239544766023755,0
0.0008981069549918175,0
0.0003568354877643287,0
0.0012145857326686382,0
0.0021420754492282867,0
0.00224306620657444,0
0.0033603771589696407,0
0.012578747235238552,0
0.1710376739501953,0
0.33285704255104065,0
0.2800576686859131,0
0.35034406185150146,0
9.321832656860352,0
0.1819981336593628,0
84.2191390991211,18
9.093234062194824,0
0.03734126687049866,1
0.02606981247663498,0
28.738309860229492,1
0.34065645933151245,2
0.1923244148492813,0
59.2012825012207,0
2.3467910289764404,0
1.0774415731430054,0
0.6076340079307556,0
0.2708497941493988,0
0.4175463318824768,0
0.028906026855111122,0
0.00454143388196826,0
0.0006568280514329672,0
7.110165824997239e-06,0
0.0003645468386821449,0
0.0006113998824730515,0
0.0007986009586602449,0
0.0006625669775530696,0
0.0007006495143286884,0
0.007299474440515041,0
0.009572076611220837,0
0.004162959288805723,0
0.003594730282202363,0
0.006666005123406649,0
0.0026909473817795515,0
0.003233835566788912,0
0.003606606973335147,0
0.002286740578711033,0
0.0037244614213705063,0
0.002136778552085161,0
0.0010683913715183735,0
0.0014330674894154072,0
0.0005471271579153836,0
0.00044163185521028936,0
0.0019308332120999694,0
0.001907789963297546,0
0.007013555150479078,0
0.0011385469697415829,0
0.0008749348926357925,0
0.0004961241502314806,0
0.0010455052834004164,0
0.0008348104311153293,0
0.0006000548601150513,0
0.0005194033146835864,0
0.0005709324614144862,0
0.0011549791088327765,0
0.001269499771296978,0
0.0019999246578663588,0
0.0008766896207816899,0
0.0014962672721594572,0
0.0065989731810987,0
0.038642723113298416,0
0.1300305873155594,0
29.240102767944336,19
3.916931390762329,22
0.4567350447177887,1
0.09189319610595703,0
0.22955778241157532,0
0.8165989518165588,0
0.0043221754021942616,0
0.42467015981674194,0
1.2501790523529053,5
1.2803301811218262,4
0.3498454689979553,0
18.131938934326172,0
14.498054504394531,0
0.9194626808166504,0
0.6250251531600952,0
1.321407437324524,0
0.6221932768821716,0
0.00281977909617126,0
0.001317624468356371,0
0.00016058728215284646,0
0.00024787100846879184,0
0.0004570069722831249,0
0.0004352490359451622,0
0.00020998239051550627,0
0.00039239166653715074,0
0.0006154821603558958,0
0.001348873833194375,0
0.0026635730173438787,0
0.005448699463158846,0
0.0017577718244865537,0
0.00020287818915676326,0
0.0025522324722260237,0
0.003702948335558176,0
0.0038824465591460466,0
0.002577632199972868,0
0.0028854254633188248,0
0.0004507344274315983,0
0.0004956499906256795,0
0.0010050464188680053,0
0.0006747255101799965,0
0.000590139243286103,0
0.0054296888411045074,0
0.00390499085187912,0
0.0009265801636502147,0
0.0008276365115307271,0
0.0011290063848719,0
0.0005510604241862893,0
0.0002926795859821141,0
0.0012077126884832978,0
0.0012797657400369644,0
0.0019707316532731056,0
0.000984345912002027,0
0.0011419306974858046,0
0.0009696812485344708,0
0.00164100993424654,0
0.005744363181293011,0
0.01584143005311489,0
0.02099919505417347,0
0.09135500341653824,0
1.069514513015747,1
3.2919299602508545,3
0.0,0
0.0004821670881938189,0
3.692255973815918,0
0.24826426804065704,0
0.004036877304315567,0
29.722684860229492,8
26.060260772705078,0
1.4096890687942505,0
0.5064614415168762,0
0.44287264347076416,0
0.3945474624633789,0
0.0024870403576642275,0
0.0011877132346853614,0
0.00022756302496418357,0
0.00029475774499587715,0
0.00030607584631070495,0
0.0002569089992903173,0
0.0003872267552651465,0
0.0012883488088846207,0
0.00098532869014889,0
0.001650582067668438,0
0.014140666462481022,0
0.004852865822613239,0
0.005206665955483913,0
0.007194173987954855,0
0.00271127512678504,0
0.0022916372399777174,0
0.0036645682994276285,0
0.0008787744445726275,0
0.0006362638087011874,0
0.0009107752121053636,0
0.0022517330944538116,0
0.000565027236007154,0
0.0008568294579163194,0
0.0007507941918447614,0
0.003907459322363138,0
0.004022147972136736,0
0.000779330322984606,0
0.0005351944710128009,0
0.0009232196025550365,0
0.0017160566058009863,0
0.0013579290825873613,0
0.000678020587656647,0
0.0003423976304475218,0
0.00021981079771649092,0
0.00035644849413074553,0
0.0007758372812531888,0
0.002131866058334708,0
0.0055076186545193195,0
0.007599299773573875,0
0.006479701958596706,0
0.02311134710907936,0
0.7796778082847595,44
0.6632116436958313,4
0.0,0
0.008709140121936798,0
0.04898453503847122,0
1.0366312265396118,0
0.3819100856781006,0
0.5825949907302856,0
0.810531497001648,0
0.5817326307296753,1
0.33372238278388977,0
0.20211577415466309,0
0.2559953033924103,0
0.007340436335653067,0
0.001246880041435361,0
0.0005739607731811702,0
0.00019977560441475362,0
7.432480924762785e-05,0
0.0004586810537148267,0
0.00034942306228913367,0
1.5081522178661544e-05,0
0.0011610417859628797,0
0.001138261053711176,0
0.008145061321556568,0
0.004980145487934351,0
0.0017716564470902085,0
0.0051575652323663235,0
0.0038901802618056536,0
0.0020447035785764456,0
0.005429551005363464,0
0.0011376531329005957,0
0.0002966250467579812,0
0.0006501993048004806,0
0.0007516295881941915,0
0.0010189912281930447,0
0.00044637336395680904,0
0.0014688052469864488,0
0.0032812003046274185,0
0.006557236425578594,0
0.0013933248119428754,0
0.0005247301887720823,0
0.0005282654310576618,0
0.00011175155668752268,0
0.00029640100547112525,0
0.00044463577796705067,0
0.00019928524852730334,0
0.00020198481797706336,0
0.0006307783187367022,0
0.0018115486018359661,0
0.006135966163128614,0
0.00503240991383791,0
0.004826404619961977,0
0.008256073109805584,0
0.062209855765104294,0
0.2077740877866745,0
1.3189746141433716,0
0.6783625483512878,0
5.876380920410156,0
2.3853821754455566,0
0.03774220496416092,0
0.24241681396961212,1
0.2990933656692505,0
0.17662031948566437,0
0.1155720204114914,0
0.11024731397628784,0
0.04010436683893204,0
0.002674596384167671,0
0.0002844802802428603,0
0.0003723335394170135,0
7.373824337264523e-05,0
0.0007329172804020345,0
0.0004980382509529591,0
0.0006181375938467681,0
0.000590451352763921,0
0.0003869332140311599,0
0.00025363918393850327,0
0.002733967499807477,0
0.001114356447942555,0
0.0029598670080304146,0
0.0032290152739733458,0
0.00451198173686862,0
0.009399622678756714,0
0.00046898642904125154,0
0.010556185618042946,0
0.00977290328592062,0
0.0007103066309355199,0
0.0011433737818151712,0
0.000819175154902041,0
0.00208800146356225,0
0.0038071139715611935,0
0.007923656143248081,0
0.0004187254817225039,0
0.00032435404136776924,0
0.0006146623636595905,0
0.0006141178891994059,0
0.00029866432305425406,0
0.0005224646301940084,0
0.0009262334788218141,0
0.0011467522708699107,0
0.0025204052217304707,0
0.005529404152184725,0
0.004561929032206535,0
0.00320887821726501,0
0.005850046407431364,0
0.03284839540719986,0
0.06331849843263626,0
0.17001475393772125,0
0.00912654958665371,0
0.16087600588798523,1
0.6232532858848572,0
0.3885362446308136,0
0.21874754130840302,0
0.3222743570804596,0
0.19690050184726715,0
0.1375790536403656,0
0.021110480651259422,0
0.0248540211468935,0
0.05862397328019142,0
0.008674640208482742,0
0.0007694464875385165,0
0.0001588453451404348,0
9.858174598775804e-05,0
7.206350710475817e-05,0
0.0005016314680688083,0
0.00042644329369068146,0
0.0005117928376421332,0
0.0009089132072404027,0
0.0010519257048144937,0
0.0005226698121987283,0
0.0016617440851405263,0
0.002380184829235077,0
0.009116037748754025,0
0.0030147412326186895,0
0.0017736562294885516,0
0.001261359080672264,0
0.012571550905704498,0
0.02268805354833603,0
0.006132227834314108,0
0.002285068854689598,0
0.0008149892673827708,0
0.0012858191039413214,0
0.00105950771830976,0
0.005303747020661831,0
0.001133814686909318,0
0.0004194110515527427,0
0.0004037251928821206,0
0.0005362639203667641,0
0.0006566784577444196,0
0.0011100713163614273,0
0.0014765554806217551,0
0.002394547453150153,0
0.003783156629651785,0
0.004286813549697399,0
0.0039479052647948265,0
0.004004739224910736,0
0.007158733904361725,0
0.03510639816522598,0
0.11716975271701813,0
0.1910191923379898,0
0.0,0
0.18512138724327087,0
49.90850830078125,1
0.748572587966919,0
0.43493232131004333,0
0.305500328540802,0
0.33644914627075195,0
0.09333845227956772,0
0.06471086293458939,0
0.020418256521224976,0
0.07588113099336624,0
0.023308001458644867,0
0.009653819724917412,0
0.0006535104475915432,0
0.00044388967216946185,0
0.0002371442096773535,0
0.00017675216076895595,0
0.0003343092103023082,0
0.0002504361036699265,0
0.0009163918439298868,0
0.0013313305098563433,0
0.0010622345143929124,0
0.0006185341626405716,0
0.0016239131800830364,0
0.0007883343496359885,0
0.0010674447985365987,0
0.0011567443143576384,0
0.0012514055706560612,0
0.0013398355804383755,0
0.001016672933474183,0
0.0033585175406187773,0
0.0010961457155644894,0
0.0007889835396781564,0
0.0008474622736684978,0
0.0005150784272700548,0
0.00034638404031284153,0
0.004494488704949617,0
0.0007577828946523368,0
0.00015099512529559433,0
0.00019215075008105487,0
0.0006948637892492115,0
0.0015311979223042727,0
0.0012884752359241247,0
0.0025512592401355505,0
0.002378063974902034,0
0.00481566833332181,0
0.003031816566362977,0
0.004329437855631113,0
0.003158249193802476,0
0.011810109950602055,0
0.07943646609783173,0
0.05740579962730408,0
0.14164768159389496,0
0.0,0
37.21326446533203,0
0.9738343954086304,0
0.39378622174263,0
0.21970324218273163,0
0.1340165138244629,0
0.09924622625112534,0
0.06629210710525513,0
0.03523624688386917,0
0.028240973129868507,0
0.05594726651906967,0
0.00410844711586833,0
0.002710591768845916,1
0.0022075646556913853,0
0.0005448434967547655,0
0.0005106588359922171,0
0.0004509124846663326,0
0.00028523342916741967,0
0.00039813818875700235,0
0.0003766000154428184,0
0.0008840438676998019,0
0.00035873561864718795,0
0.0002751529682427645,0
0.0010449072578921914,0
0.0004960966762155294,0
0.00044802669435739517,0
0.0017661605961620808,0
0.0006613646983169019,0
0.0010976670309901237,0
0.0010191787732765079,0
0.000655786192510277,0
0.000747108249925077,0
0.000296538055408746,0
0.0004501836665440351,0
0.0004377219593152404,0
0.001604385324753821,0
0.0019423250341787934,0
0.0013850117102265358,0
0.0009746032883413136,0
0.0008060772670432925,0
0.0007914768066257238,0
0.00189154630061239,0
0.0020703196059912443,0
0.0024989054072648287,0
0.004898775834590197,0
0.0026778208557516336,0
0.0025856057181954384,0
0.0027202721685171127,0
0.006397114600986242,0
0.007285646162927151,0
0.06704822182655334,0
0.10870566219091415,0
0.34229323267936707,1
0.07667779922485352,3
0.2573537230491638,0
0.1719566434621811,0
0.08964362740516663,0
0.043005894869565964,0
0.099749855697155,0
0.10925141721963882,0
0.04310089722275734,0
0.05613192170858383,0
0.013582083396613598,0
0.0008667926886118948,0
0.004284892231225967,0
0.0016015765722841024,0
0.0006246782140806317,0
0.0013516220496967435,0
0.0005318833282217383,0
0.0005071231280453503,0
0.0004680893325712532,0
0.0003279646625742316,0
0.0014015741180628538,0
0.0004424231592565775,0
0.0010159002849832177,0
0.0006031562224961817,0
0.001016321126371622,0
0.0018959722947329283,0
0.0012926951749250293,0
0.0015983420889824629,0
0.00037160012288950384,0
0.0007520997896790504,0
0.0008122352883219719,0
0.0009898015996441245,0
0.0007362747564911842,0
0.0003356563101988286,0
0.0010456281015649438,0
0.0003786529996432364,0
0.0003641995135694742,0
0.0006462792516686022,0
0.0013166136341169477,0
0.0009211042197421193,0
0.00619107112288475,0
0.002567751333117485,0
0.003690368728712201,0
0.0024373566266149282,0
0.0023768418468534946,0
0.001974001294001937,0
0.004996174015104771,0
0.007112558931112289,0
0.005941824521869421,0
0.05718686431646347,0
0.09475471824407578,0
0.554089367389679,0
0.03865377977490425,0
144.7160186767578,1
91.97222900390625,0
24.600847244262695,0
0.7556565403938293,1
0.09260861575603485,0
0.042128462344408035,0
0.043638166040182114,0
0.02919935993850231,0
0.051190003752708435,0
0.06639770418405533,0
0.08283748477697372,0
0.017472339794039726,0
0.002773712622001767,0
0.007498640567064285,0
0.003890652908012271,0
0.0014349563280120492,0
0.004255571402609348,0
0.0013910417910665274,0
0.0008086090092547238,0
0.0007825604407116771,0
0.00034941878402605653,0
0.0013237413950264454,0
0.0007294546812772751,0
0.0020040867384523153,0
0.0005190504598431289,0
0.001577778602950275,0
0.001102733425796032,0
0.0010388093069195747,0
0.000926017586607486,0
0.0005953758372925222,0
0.000515939318574965,0
0.000562062079552561,0
0.000596342608332634,0
0.00046954708523117006,0
0.000939675432164222,0
0.007712542545050383,0
0.00023388855333905667,0
0.0007351207896135747,0
0.0006418909761123359,0
0.0011333735892549157,0
0.001965495990589261,0
0.0009066881029866636,0
0.0024971263483166695,0
0.00245880545116961,0
0.0015746590215712786,0
0.0015898392302915454,0
0.0033052582293748856,0
0.0077654579654335976,0
0.005233115516602993,0
0.0034349318593740463,0
0.11290939897298813,0
0.09688165038824081,0
0.13710585236549377,0
0.2718334197998047,12
0.41668957471847534,0
3.916919708251953,1
1.2621878385543823,0
0.3030548691749573,1
0.1163267120718956,0
0.030124271288514137,0
0.0780484601855278,0
0.03848530352115631,0
0.018156705424189568,0
0.1492249071598053,0
0.062645323574543,0
0.002335197990760207,0
0.0008801940130069852,0
0.016131335869431496,0
0.005768635775893927,0
0.005582510493695736,0
0.007688208948820829,0
0.0025291081983596087,0
0.0021833814680576324,0
0.0019533364102244377,0
0.0015782505506649613,0
0.00460323691368103,0
0.0029390377458184958,0
0.0021522417664527893,0
0.002047642832621932,0
0.001772941555827856,0
0.0013328988570719957,0
