date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2023-01-20,-73.3,178.4,272645000,0.2497,0
2023-01-20,-73.3,178.5,272645000,0.0852,0
2023-01-20,-73.3,178.3,272645000,0.3669,0
2023-01-20,-73.2,178.7,272645000,0.3672,0
2023-01-20,-73.2,178.2,272645000,1.7169,1.5499
2023-01-20,-73.2,178,272645000,1.8166,1.6502
2023-01-20,-73.2,178.6,272645000,0.4163,0
2023-01-20,-73.2,178.5,272645000,0.3011,0
2023-01-20,-73.2,178.1,272645000,1.4833,1.3
2023-01-20,-73.2,178.4,272645000,0.8136,0.3858
2023-01-20,-73.2,178.3,272645000,2.383,1.7663
2023-01-20,-73.2,177.8,272645000,1.833,0
2023-01-20,-73.2,178.9,272645000,0.6024,0
2023-01-20,-73.2,177.9,272645000,1.6672,0.483
2023-01-20,-73.2,177.7,272645000,0.2497,0
2023-01-20,-73.2,179,272645000,0.733,0
2023-01-20,-73.2,178.8,272645000,0.7525,0
2023-01-20,-73.2,178.5,512006000,0.0166,0
2023-01-20,-73.2,178.3,512006000,0.035,0
2023-01-20,-73.2,178.4,512006000,0.1111,0
2023-01-20,-73.1,-176.1,272364000,0.2991,0
2023-01-20,-73.1,179,272645000,0.8161,0
2023-01-20,-73.1,178.7,272645000,2.7186,0
2023-01-20,-73.1,178.8,272645000,3.3458,0.2338
2023-01-20,-73.1,177.9,512006000,2.6613,0.2991
2023-01-20,-73.1,178.4,512006000,0.6016,0
2023-01-20,-73.1,177.6,512006000,0.7516,0
2023-01-20,-73.1,177.7,512006000,2.0655,0
2023-01-20,-73.1,178.3,512006000,4.6363,1.7827
2023-01-20,-73.1,177.8,512006000,1.9227,0
2023-01-20,-73.1,178.1,512006000,4.1933,2.3827
2023-01-20,-73.1,178.2,512006000,3.348,1.5683
2023-01-20,-73.1,178,512006000,3.3783,1.3341
2023-01-20,-73,-176.3,272364000,0.0166,0
2023-01-20,-73,-176.2,272364000,0.5827,0
2023-01-20,-73,-176.1,272364000,0.0505,0
2023-01-20,-73,179,272645000,0.1677,0
2023-01-20,-73,178.7,272645000,1.1191,0
2023-01-20,-73,178.3,512006000,0.1977,0
2023-01-20,-73,178.2,512006000,0.0858,0
2023-01-20,-72.9,-176.3,272364000,2.5174,0
2023-01-20,-72.9,-176,272364000,1.8699,1.4616
2023-01-20,-72.9,-176.4,272364000,1.6288,0
2023-01-20,-72.9,-175.9,272364000,1.4352,1.0344
2023-01-20,-72.9,-176.5,272364000,0.1025,0
2023-01-20,-72.9,-176.2,272364000,2.2194,0
2023-01-20,-72.9,-175.7,272364000,0.3661,0.3661
2023-01-20,-72.9,-176.1,272364000,2.0263,1.5369
2023-01-20,-72.9,-175.8,272364000,1.048,0.7983
2023-01-20,-72.8,-176.3,272364000,0.2169,0
2023-01-20,-72.8,-176.6,272364000,0.165,0
2023-01-20,-72.8,-175.7,272364000,0.8772,0.5111
2023-01-20,-72.8,-176,272364000,0.2158,0
2023-01-20,-72.8,-176.9,272364000,1.4741,0
2023-01-20,-72.8,-176.5,272364000,0.1361,0
2023-01-20,-72.8,-176.4,272364000,0.383,0
2023-01-20,-72.8,-176.8,272364000,1.5924,0
2023-01-20,-72.8,-176.7,272364000,2.1319,0
2023-01-20,-72.8,-175.8,272364000,1.2252,1.008
2023-01-20,-72.8,-177,272364000,0.1533,0
2023-01-20,-72.8,-175.9,272364000,0.8508,0.65
2023-01-20,-72.8,-176.1,272364000,0.2052,0
2023-01-20,-72.8,-176.2,272364000,0.2111,0
2023-01-20,-72.7,175.9,440854000,0.9508,0.7969
2023-01-20,-72.7,176,440854000,0.0327,0
2023-01-20,-72.7,176.4,440854000,1.048,0.9813
2023-01-20,-72.7,176.3,440854000,1.1213,0.8016
2023-01-20,-72.6,176.3,440854000,3.6677,3.2088
2023-01-20,-72.6,176.2,440854000,2.3658,2.1824
