date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2023-12-19,-76.1,-166,440282000,0.1491,0
2023-12-19,-76.1,-165.9,440282000,0.4513,0
2023-12-19,-76.1,-165.3,440282000,0.2161,0
2023-12-19,-76.1,-165.2,440282000,0.1319,0
2023-12-19,-76.1,-165.7,440282000,0.9997,0.8327
2023-12-19,-76.1,-165.4,440282000,0.283,0.0836
2023-12-19,-76.1,-165.6,440282000,1.1833,1.0663
2023-12-19,-76.1,-165.8,440282000,0.6083,0
2023-12-19,-76.1,-166.1,440282000,0.3947,0.3947
2023-12-19,-76.1,-165.5,440282000,0.4905,0.3405
2023-12-19,-76,-167.9,431650000,2.7499,2.5999
2023-12-19,-76,-168.7,431650000,2.6719,0
2023-12-19,-76,-168.4,431650000,0.1808,0
2023-12-19,-76,-167.5,431650000,0.1336,0
2023-12-19,-76,-168.3,431650000,0.3663,0
2023-12-19,-76,-167.6,431650000,0.6808,0.3644
2023-12-19,-76,-168.5,431650000,1.2355,0
2023-12-19,-76,-168.6,431650000,1.9549,0
2023-12-19,-76,-167.7,431650000,2.6852,2.3869
2023-12-19,-76,-168.2,431650000,0.35,0
2023-12-19,-76,-167.8,431650000,1.5972,1.1961
2023-12-19,-76,-168,431650000,0.0341,0
2023-12-19,-76,-165.1,440282000,0.9663,0.6194
2023-12-19,-76,-165.2,440282000,1.5527,1.4499
2023-12-19,-76,-165.8,440282000,0.9363,0
2023-12-19,-76,-164.8,440282000,0.2197,0
2023-12-19,-76,-165.3,440282000,1.8177,1.05
2023-12-19,-76,-165.4,440282000,3.7822,1.7827
2023-12-19,-76,-165.5,440282000,2.9599,1.6772
2023-12-19,-76,-165.7,440282000,1.5886,0
2023-12-19,-76,-165.9,440282000,0.9661,0
2023-12-19,-76,-165.6,440282000,2.4316,0.5386
2023-12-19,-76,-166.1,440282000,0.2058,0.1555
2023-12-19,-76,-165,440282000,0.355,0
2023-12-19,-76,-164.9,440282000,0.3913,0
2023-12-19,-76,-166,440282000,0.9166,0.4169
2023-12-19,-76,-172.2,440755000,0.4497,0
2023-12-19,-76,-172.3,440755000,0.235,0
2023-12-19,-76,-171.5,440854000,0.9686,0.0841
2023-12-19,-76,-170.9,440854000,1.0825,0.9494
2023-12-19,-76,-171.3,440854000,1.1352,0.4694
2023-12-19,-76,-170.3,440854000,0.4924,0
2023-12-19,-76,-170.6,440854000,1.7447,1.2636
2023-12-19,-76,-171.7,440854000,0.1255,0
2023-12-19,-76,-170.8,440854000,1.2463,0.9977
2023-12-19,-76,-170.7,440854000,1.6941,1.1358
2023-12-19,-76,-171.6,440854000,1.205,0.8908
2023-12-19,-76,-170.5,440854000,2.2758,1.2822
2023-12-19,-76,-170.1,440854000,0.2325,0
2023-12-19,-76,-171,440854000,1.0694,0.5025
2023-12-19,-76,-171.1,440854000,1.9136,1.4394
2023-12-19,-76,-171.2,440854000,1.3977,1.2808
2023-12-19,-76,-170.4,440854000,0.4008,0
2023-12-19,-76,-170.2,440854000,1.0266,0
2023-12-19,-76,-171.4,440854000,1.0344,0.5666
2023-12-19,-76,-166.7,512006000,0.3336,0
2023-12-19,-76,-166.4,512006000,5.0327,1.4802
2023-12-19,-76,-166.6,512006000,1.435,0
2023-12-19,-76,-166.3,512006000,3.9766,1.3224
2023-12-19,-76,-166.5,512006000,5.6419,0.45
2023-12-19,-76,-166.1,512006000,4.6177,4.3033
2023-12-19,-76,-166.2,512006000,2.9672,2.1127
2023-12-19,-75.9,-168.5,431650000,0.0897,0
2023-12-19,-75.9,-167.9,431650000,0.2694,0
2023-12-19,-75.9,-167.4,431650000,0.3663,0
2023-12-19,-75.9,-167.5,431650000,0.6852,0
2023-12-19,-75.9,-168.1,431650000,0.4322,0
2023-12-19,-75.9,-168.3,431650000,0.1322,0
2023-12-19,-75.9,-168,431650000,0.5486,0
2023-12-19,-75.9,-168.4,431650000,0.1166,0
2023-12-19,-75.9,-167.8,431650000,0.3002,0
2023-12-19,-75.9,-168.2,431650000,0.1663,0
2023-12-19,-75.9,-167.7,431650000,0.1841,0
2023-12-19,-75.9,-167.6,431650000,6.0669,3.9336
2023-12-19,-75.9,-171.4,440755000,0.3377,0
2023-12-19,-75.9,-173.1,440755000,0.2172,0.1169
2023-12-19,-75.9,-172.3,440755000,1.5936,1.0833
2023-12-19,-75.9,-171.8,440755000,0.3325,0
2023-12-19,-75.9,-171.7,440755000,0.348,0
2023-12-19,-75.9,-171.9,440755000,0.3525,0
2023-12-19,-75.9,-171.3,440755000,0.0672,0
2023-12-19,-75.9,-172,440755000,0.333,0
2023-12-19,-75.9,-173,440755000,1.0811,0
2023-12-19,-75.9,-172.2,440755000,1.2216,1.0669
2023-12-19,-75.9,-172.6,440755000,0.5594,0
2023-12-19,-75.9,-172.7,440755000,2.2238,1.4674
2023-12-19,-75.9,-172.1,440755000,3.6833,3.2663
2023-12-19,-75.9,-171.5,440755000,0.3441,0
2023-12-19,-75.9,-172.9,440755000,1.2055,0.0666
2023-12-19,-75.9,-171.6,440755000,0.3355,0
2023-12-19,-75.9,-172.8,440755000,2.1774,0.4922
2023-12-19,-75.9,-172.4,440755000,1.28,0.3169
2023-12-19,-75.9,-172.5,440755000,0.4333,0
2023-12-19,-75.9,-170.3,440854000,0.3419,0
2023-12-19,-75.9,-170.1,440854000,0.2641,0
2023-12-19,-75.9,-171.1,440854000,0.05,0
2023-12-19,-75.9,-170.2,440854000,0.3125,0
2023-12-19,-75.9,-170.5,440854000,0.378,0.0166
2023-12-19,-75.9,-170.8,440854000,0.4697,0
2023-12-19,-75.9,-170.4,440854000,0.8872,0.4322
2023-12-19,-75.9,-170.6,440854000,1.6672,1.3363
2023-12-19,-75.9,-170.9,440854000,0.0716,0
2023-12-19,-75.9,-170.7,440854000,0.3661,0
2023-12-19,-75.9,-171,440854000,0.1447,0
2023-12-19,-75.8,-173.1,440755000,0.8169,0.6513
2023-12-19,-75.8,-173.2,440755000,1.3513,1.1816
2023-12-19,-75.8,-172.5,440755000,1.103,0
2023-12-19,-75.8,-172.4,440755000,0.2505,0
2023-12-19,-75.8,-172.6,440755000,1.6669,0.068
2023-12-19,-75,-177.2,440203000,0.4166,0.2863
2023-12-19,-75,-177.7,440203000,1.2858,0.6072
2023-12-19,-75,-178.1,440203000,0.1058,0
2023-12-19,-75,-176.8,440203000,0.4491,0.4325
2023-12-19,-75,-177,440203000,0.5716,0.2316
2023-12-19,-75,-177.8,440203000,0.8013,0.3447
2023-12-19,-75,-178.2,440203000,0.2925,0
2023-12-19,-75,-178.3,440203000,0.1005,0
2023-12-19,-75,-177.4,440203000,0.1163,0
2023-12-19,-75,-178,440203000,0.1847,0
2023-12-19,-75,-177.1,440203000,0.1327,0
2023-12-19,-75,-177.9,440203000,0.8766,0.0647
2023-12-19,-75,-176.9,440203000,0.3455,0
2023-12-19,-75,-177.5,440203000,0.0694,0
2023-12-19,-75,-177.3,440203000,0.1672,0
2023-12-19,-74.9,-178.4,440203000,0.2002,0
2023-12-19,-74.9,-178.3,440203000,0.6327,0
2023-12-19,-74.8,-178.5,440203000,0.5836,0
2023-12-19,-74.8,-178.4,440203000,0.0858,0
2023-12-19,-74.7,-178.4,440203000,0.5175,0
2023-12-19,-74.7,-178.5,440203000,0.0136,0
2023-12-19,-74.6,-178.4,440203000,0.3688,0
2023-12-19,-74.6,-178.5,440203000,0.2877,0
2023-12-19,-74.5,-178.6,440203000,0.1811,0
2023-12-19,-74.5,-178.9,440203000,0.155,0
2023-12-19,-74.5,-178.5,440203000,0.1447,0
2023-12-19,-74.5,-178.7,440203000,0.1355,0
2023-12-19,-74.5,-178.8,440203000,0.1644,0
2023-12-19,-74.4,-179,440203000,0.3336,0
2023-12-19,-74.4,-178.9,440203000,0.1974,0
