date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2023-08-13,-55.4,158.5,503718000,1.1866,1.1866
2023-08-13,-55.3,158.5,503718000,5.8355,5.1838
2023-08-13,-55.2,158.5,503718000,7.6063,6.8461
2023-08-13,-55.2,158.4,503718000,3.4883,3.2669
2023-08-13,-55.1,158.4,503718000,2.5527,2.0313
2023-08-13,-55.1,158.5,503718000,1.1908,0.5666
2023-08-13,-55,158.5,503718000,0.7238,0
2023-08-13,-55,158.6,503718000,0.7105,0
2023-08-13,-55,-38.3,665111132,4.1994,4.1491
2023-08-13,-55,-38.4,665111132,3.4455,3.4455
2023-08-13,-55,-37.7,665111132,0.5175,0
2023-08-13,-55,-38.2,665111132,4.9683,4.3327
2023-08-13,-55,-37.8,665111132,0.2108,0
2023-08-13,-54.9,158.6,503718000,0.7055,0
2023-08-13,-54.9,-38,665111132,0.8875,0
2023-08-13,-54.9,-38.1,665111132,0.4766,0
2023-08-13,-54.9,-38.4,665111132,0.9599,0.5883
2023-08-13,-54.9,-38.2,665111132,0.5558,0.0672
2023-08-13,-54.9,-38.5,665111132,3.6138,3.2302
2023-08-13,-54.9,-38.3,665111132,0.248,0
2023-08-13,-54.9,-37.8,665111132,0.398,0
2023-08-13,-54.9,-37.9,665111132,0.4869,0
2023-08-13,-54.9,-38.6,665111132,3.0311,2.6861
2023-08-13,-54.3,-36.6,257400000,0.8477,0
2023-08-13,-54.3,-36.5,257400000,0.3852,0
2023-08-13,-54.2,-36.5,257400000,0.9997,0
2023-08-13,-54.1,-35.5,257400000,0.9558,0
2023-08-13,-54.1,-35.6,257400000,0.5527,0
2023-08-13,-54.1,-36.5,257400000,0.7366,0
2023-08-13,-54,-35.5,257400000,0.2463,0
2023-08-13,-54,-35.6,257400000,0.4177,0
2023-08-13,-54,-36.5,257400000,0.6463,0
2023-08-13,-54,-36,257400000,0.1825,0
2023-08-13,-54,-35.7,257400000,0.7952,0
2023-08-13,-54,-35.8,257400000,0.5011,0
2023-08-13,-54,-35.9,257400000,0.5675,0
2023-08-13,-54,-36,259539000,0.8161,0.8161
2023-08-13,-54,-36.1,259539000,0.1208,0.1208
2023-08-13,-54,-35.7,665111130,0.4152,0
2023-08-13,-54,-35.6,665111130,0.1511,0
2023-08-13,-54,-35.8,665111130,0.4008,0
2023-08-13,-54,-35.9,665111130,0.033,0
2023-08-13,-54,-51.8,725000357,3.6794,3.1013
2023-08-13,-54,-51.9,725000357,4.403,3.6449
2023-08-13,-54,-52,725000357,2.2947,2.1738
2023-08-13,-53.9,-35.8,257400000,0.3827,0
2023-08-13,-53.9,-35.9,257400000,0.8308,0.3822
2023-08-13,-53.9,-36.1,257400000,1.1613,0.2505
2023-08-13,-53.9,-36,257400000,3.4899,2.9616
2023-08-13,-53.9,-36.6,257400000,0.2063,0
2023-08-13,-53.9,-35.7,257400000,0.1152,0
2023-08-13,-53.9,-36.2,257400000,0.4019,0
2023-08-13,-53.9,-36.4,257400000,0.1672,0
2023-08-13,-53.9,-36.3,257400000,0.3933,0
2023-08-13,-53.9,-36.5,257400000,1.0663,0
2023-08-13,-53.9,-36.3,259539000,1.1325,0
2023-08-13,-53.9,-36.1,259539000,12.4663,12.1661
2023-08-13,-53.9,-36.2,259539000,0.6997,0
2023-08-13,-53.9,-36,259539000,7.3322,7.3322
2023-08-13,-53.9,-35.9,259539000,1.3961,0.7158
2023-08-13,-53.9,-39.5,665111129,0.1716,0
2023-08-13,-53.9,-38.9,665111129,0.3827,0
2023-08-13,-53.9,-38.6,665111129,0.4091,0
2023-08-13,-53.9,-38.5,665111129,0.2652,0
2023-08-13,-53.9,-39.7,665111129,6.1525,4.2966
2023-08-13,-53.9,-39,665111129,0.4169,0
2023-08-13,-53.9,-38.8,665111129,0.4008,0
2023-08-13,-53.9,-39.6,665111129,7.1977,5.5249
2023-08-13,-53.9,-38.7,665111129,0.4074,0
2023-08-13,-53.9,-35.9,665111130,0.7499,0
2023-08-13,-53.9,-51.9,725000357,6.8624,3.068
2023-08-13,-53.9,-52,725000357,5.3499,0.9933
2023-08-13,-53.9,-51.8,725000357,1.423,0.9288
2023-08-13,-53.8,-36.2,257400000,0.1466,0.113
2023-08-13,-53.8,-36,257400000,1.9522,1.1338
2023-08-13,-53.8,-36.6,257400000,0.7641,0
2023-08-13,-53.8,-36.1,257400000,2.9849,2.2055
2023-08-13,-53.8,-36.3,257400000,0.7825,0
2023-08-13,-53.8,-36.4,257400000,0.2519,0
2023-08-13,-53.8,-36,259539000,0.0352,0.0352
