date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2023-08-30,-56.3,154,900025393,0.5419,0.2544
2023-08-30,-56.2,154,900025393,0.7755,0.7755
2023-08-30,-54.5,158.7,503718000,0.3536,0.1111
2023-08-30,-54.4,158.8,503718000,0.748,0.048
2023-08-30,-54.4,158.7,503718000,2.1855,0.1994
2023-08-30,-54.3,158.9,503718000,0.0166,0
2023-08-30,-54.3,158.8,503718000,5.2722,3.9588
2023-08-30,-54.2,-53.9,441389000,2.6977,2.5311
2023-08-30,-54.2,158.9,503718000,0.6336,0
2023-08-30,-54.1,-53.7,441389000,1.8508,1.8508
2023-08-30,-54.1,-53.9,441389000,0.205,0.1358
2023-08-30,-54.1,-53.8,441389000,3.9299,3.4986
2023-08-30,-54.1,159,503718000,2.5486,2.5486
2023-08-30,-54.1,158.9,503718000,9.5491,9.0461
2023-08-30,-54.1,-41.6,665111129,0.8177,0.7183
2023-08-30,-54.1,-41.8,665111129,3.7911,0.2175
2023-08-30,-54.1,-41.9,665111129,0.1972,0.1336
2023-08-30,-54.1,-41.7,665111129,4.2091,0.7036
2023-08-30,-54,-51.6,440854000,0.0536,0
2023-08-30,-54,-53.6,441389000,3.8399,3.4774
2023-08-30,-54,-53.7,441389000,2.2302,2.2302
2023-08-30,-54,-53.5,441389000,0.1294,0
2023-08-30,-54,159,503718000,1.4511,1.4511
2023-08-30,-54,158.9,503718000,1.1869,1.1869
2023-08-30,-54,-41.7,665111129,3.8874,3.3499
2023-08-30,-54,-41.6,665111129,0.3366,0.3366
2023-08-30,-54,-41.9,665111129,5.0488,1.7569
2023-08-30,-54,-41.8,665111129,4.9627,1.4291
2023-08-30,-54,-43,665111132,2.0816,2.0816
2023-08-30,-54,-71.3,725000261,0.2372,0
2023-08-30,-54,-71.4,725000261,0.2661,0
2023-08-30,-54,-71.2,725000261,0.05,0
2023-08-30,-54,-52,725000357,3.1516,1.868
2023-08-30,-54,-51.9,725000357,1.9499,1.9499
2023-08-30,-53.9,-36,257400000,13.0333,13.0333
2023-08-30,-53.9,-35.9,257400000,1.7755,1.7755
2023-08-30,-53.9,-36.1,259539000,3.6636,3.6636
2023-08-30,-53.9,-36,259539000,13.8247,13.8247
2023-08-30,-53.9,-35.9,259539000,0.9458,0.9458
2023-08-30,-53.9,-51.5,440854000,3.7872,3.6358
2023-08-30,-53.9,-51.6,440854000,2.1599,0.8466
2023-08-30,-53.9,-51.4,440854000,0.1438,0
2023-08-30,-53.9,-53.5,441389000,3.1166,3.1166
2023-08-30,-53.9,-53.6,441389000,1.1697,1.1697
2023-08-30,-53.9,-41.8,665111129,0.3491,0
2023-08-30,-53.9,-41.7,665111129,0.2791,0
2023-08-30,-53.9,-43,665111132,0.4011,0.1502
2023-08-30,-53.9,-42.9,665111132,1.4841,0
2023-08-30,-53.9,-71.5,725000261,0.2611,0
2023-08-30,-53.9,-71.6,725000261,0.2777,0
2023-08-30,-53.9,-71.2,725000261,0.2338,0
2023-08-30,-53.9,-71.4,725000261,0.0244,0
2023-08-30,-53.9,-71.7,725000261,0.233,0
2023-08-30,-53.9,-71.8,725000261,0.2513,0
2023-08-30,-53.9,-71.1,725000261,0.2636,0
2023-08-30,-53.9,-71.9,725000261,0.2319,0
2023-08-30,-53.9,-71,725000261,0.2994,0
2023-08-30,-53.9,-51.9,725000357,0.915,0
2023-08-30,-53.9,-52.1,725000357,0.2175,0
2023-08-30,-53.9,-51.8,725000357,0.2047,0
2023-08-30,-53.9,-52,725000357,2.1111,0.915
2023-08-30,-53.9,-71,725002350,0.4841,0
2023-08-30,-53.8,-36,257400000,3.4319,3.4319
2023-08-30,-53.8,-35.9,257400000,5.7677,5.7677
2023-08-30,-53.8,-36,259539000,2.4241,2.4241
2023-08-30,-53.8,-35.9,259539000,2.9663,2.9663
2023-08-30,-53.8,-36.1,259539000,0.1838,0.1838
2023-08-30,-53.8,62.2,412331109,22.5174,0
2023-08-30,-53.8,-51.3,440854000,2.0461,1.583
2023-08-30,-53.8,-51.5,440854000,1.173,0.9836
2023-08-30,-53.8,-51.2,440854000,1.0513,0.6341
2023-08-30,-53.8,-51.6,440854000,0.7825,0.2161
2023-08-30,-53.8,-51.4,440854000,0.4238,0
2023-08-30,-53.8,-42.9,665111132,0.4016,0
2023-08-30,-53.8,-42.7,665111132,0.0938,0
2023-08-30,-53.8,-42.8,665111132,1.3152,0
2023-08-30,-53.8,-71.9,725000261,0.0622,0
2023-08-30,-53.8,-70.9,725000261,0.3422,0
2023-08-30,-53.8,-72.1,725000261,0.0616,0
2023-08-30,-53.8,-72,725000261,0.3213,0
2023-08-30,-53.8,-72.2,725000261,0.2758,0
2023-08-30,-53.8,-71,725000261,0.0722,0
2023-08-30,-53.8,-52,725000357,0.3527,0
2023-08-30,-53.8,-52.1,725000357,0.558,0
2023-08-30,-53.8,-71,725002350,0.1419,0
2023-08-30,-53.8,-70.9,725002350,0.5063,0
