date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2023-12-20,-76.1,-166.1,440282000,0.3997,0
2023-12-20,-76.1,-165.9,440282000,1.215,0
2023-12-20,-76.1,-165.1,440282000,0.21,0
2023-12-20,-76.1,-165.6,440282000,0.4508,0
2023-12-20,-76.1,-165.4,440282000,1.2172,1.0005
2023-12-20,-76.1,-165.3,440282000,1.0786,0.7988
2023-12-20,-76.1,-165,440282000,0.2177,0
2023-12-20,-76.1,-164.5,440282000,0.0672,0
2023-12-20,-76.1,-166,440282000,1.1522,0
2023-12-20,-76.1,-164.7,440282000,0.2086,0
2023-12-20,-76.1,-165.5,440282000,0.4752,0.1336
2023-12-20,-76.1,-165.2,440282000,0.1261,0
2023-12-20,-76.1,-165.7,440282000,0.5033,0
2023-12-20,-76.1,-165.8,440282000,0.7036,0
2023-12-20,-76.1,-164.9,440282000,0.1672,0
2023-12-20,-76.1,-164.8,440282000,0.1908,0
2023-12-20,-76.1,-164.6,440282000,0.3236,0
2023-12-20,-76,-168.7,431650000,0.715,0
2023-12-20,-76,-168.4,431650000,0.1341,0
2023-12-20,-76,-167.5,431650000,0.3008,0
2023-12-20,-76,-168,431650000,0.133,0
2023-12-20,-76,-168.9,431650000,2.1486,0
2023-12-20,-76,-168.5,431650000,0.1008,0
2023-12-20,-76,-168.8,431650000,3.1199,0
2023-12-20,-76,-168.2,431650000,2.7669,0.2508
2023-12-20,-76,-167.6,431650000,0.1652,0
2023-12-20,-76,-167.8,431650000,0.2833,0
2023-12-20,-76,-167.4,431650000,0.3236,0
2023-12-20,-76,-167.3,431650000,0.2777,0
2023-12-20,-76,-168.6,431650000,0.1338,0
2023-12-20,-76,-167.2,431650000,0.3802,0
2023-12-20,-76,-167.7,431650000,0.2775,0
2023-12-20,-76,-168.1,431650000,0.8827,0.6325
2023-12-20,-76,-168.3,431650000,2.5488,0
2023-12-20,-76,-167.9,431650000,0.3213,0
2023-12-20,-76,-165.6,440282000,1.325,0.6247
2023-12-20,-76,-165.3,440282000,1.4388,0.8172
2023-12-20,-76,-166,440282000,0.29,0
2023-12-20,-76,-165.7,440282000,1.215,0
2023-12-20,-76,-165,440282000,1.4522,1.4338
2023-12-20,-76,-165.1,440282000,1.3886,0.9822
2023-12-20,-76,-165.8,440282000,0.7022,0
2023-12-20,-76,-164.6,440282000,0.0641,0
2023-12-20,-76,-164.8,440282000,0.3352,0
