date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2023-06-12,-63.3,-58.9,725001619,0.25,0
2023-06-12,-63.3,-59.1,725001619,7.1499,6.2661
2023-06-12,-63.3,-59,725001619,0.383,0
2023-06-12,-63.2,-58.3,441699000,6.2766,4.9088
2023-06-12,-63.2,-58.2,441699000,0.7119,0.4955
2023-06-12,-63.2,-58.8,725001619,0.3088,0
2023-06-12,-63.2,-58.5,725001619,0.3411,0
2023-06-12,-63.2,-59.1,725001619,0.2163,0
2023-06-12,-63.2,-58.3,725001619,3.3919,2.8833
2023-06-12,-63.2,-58.4,725001619,0.3175,0
2023-06-12,-63.2,-58.6,725001619,0.2502,0
2023-06-12,-63.2,-58.9,725001619,0.2905,0
2023-06-12,-63.2,-58.7,725001619,0.2997,0
2023-06-12,-63.2,-59,725001619,0.7169,0
2023-06-12,-63.1,-58.6,412270039,3.6438,3.6438
2023-06-12,-63.1,-58.5,412270039,1.1313,1.1313
2023-06-12,-63.1,-58.7,412270039,4.9441,4.7627
2023-06-12,-63.1,-59,412270039,2.1547,2.1547
2023-06-12,-63.1,-58.9,412270039,6.4152,6.4152
2023-06-12,-63.1,-58.8,412270039,5.7108,5.5097
2023-06-12,-63.1,-58.2,441699000,2.6049,1.9497
2023-06-12,-63.1,-58.3,441699000,14.4058,11.3302
2023-06-12,-63.1,-58.2,725001619,0.788,0.788
2023-06-12,-63.1,-58.3,725001619,9.3025,8.1752
2023-06-12,-62.5,-59.8,440863000,14.5269,7.17
2023-06-12,-62.5,-59.6,440863000,1.6827,0
2023-06-12,-62.5,-59.3,440863000,0.6988,0
2023-06-12,-62.5,-59.7,440863000,0.5494,0
2023-06-12,-62.5,-59.5,440863000,0.9472,0
2023-06-12,-62.5,-59.4,440863000,0.4202,0
2023-06-12,-62.4,-59.3,440863000,0.8663,0
2023-06-12,-62.3,-59.4,440863000,0.8619,0
2023-06-12,-62.3,-59.3,440863000,0.0536,0
2023-06-12,-62.2,-59.3,440863000,0.4861,0
2023-06-12,-62.2,-59.5,440863000,0.6136,0
2023-06-12,-62.2,-59.4,440863000,0.7888,0
2023-06-12,-62.1,-59.3,440863000,0.3125,0
2023-06-12,-62.1,-59.1,440863000,0.3341,0
2023-06-12,-62.1,-59.2,440863000,0.85,0
2023-06-12,-60.5,-45.4,257400000,1.6233,1.6233
2023-06-12,-60.5,-45.7,257400000,2.3955,2.3955
2023-06-12,-60.5,-45.6,257400000,8.7505,5.4974
2023-06-12,-60.5,-45.5,257400000,7.6408,5.5922
2023-06-12,-60.5,-45.4,259539000,12.6886,11.9136
2023-06-12,-60.5,-45.5,259539000,6.8511,5.4616
2023-06-12,-60.5,-45.6,259539000,0.1308,0.1308
2023-06-12,-60.5,-45.3,259539000,0.1994,0.1994
2023-06-12,-60.4,-45.4,257400000,0.5497,0.5497
2023-06-12,-60.4,-45.5,257400000,3.0372,1.4736
2023-06-12,-60.4,-45.4,259539000,1.4136,1.4136
2023-06-12,-60.4,-45.3,259539000,2.7177,2.7177
2023-06-12,-55.5,158.6,503718000,0.2283,0
