date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2023-07-30,-55.5,158.6,503718000,6.3644,6.3644
2023-07-30,-55.5,158.7,503718000,0.2008,0
2023-07-30,-55.4,158.7,503718000,12.9155,12.283
2023-07-30,-55.4,158.6,503718000,1.7852,1.7852
2023-07-30,-55.3,158.7,503718000,2.0858,2.0569
2023-07-30,-55.3,158.6,503718000,0.6669,0.6669
2023-07-30,-54.4,-36.5,257400000,19.7213,10.2702
2023-07-30,-54.4,-36.5,259539000,22.0675,2.8005
2023-07-30,-54.3,-36.5,257400000,4.2672,3.3036
2023-07-30,-54.3,-36.5,259539000,0.9383,0
2023-07-30,-54.2,-36.4,259539000,0.4675,0
2023-07-30,-54.2,-36.3,259539000,0.3666,0
2023-07-30,-54.2,-36.5,259539000,0.193,0
2023-07-30,-54,-53.6,441389000,0.2802,0.2802
2023-07-30,-53.9,-53.4,441389000,0.1813,0.1813
2023-07-30,-53.9,-53.5,441389000,0.8866,0.8866
2023-07-30,-53.9,-53.6,441389000,0.1344,0.1344
2023-07-30,-53.8,-51.3,440854000,0.1327,0.1327
2023-07-30,-53.8,-51.2,440854000,4.1063,3.9399
2023-07-30,-53.8,-53.3,441389000,0.2869,0.2869
2023-07-30,-53.8,-53.4,441389000,0.7172,0.7172
2023-07-30,-53.8,-52.9,441864000,0.5152,0.5152
2023-07-30,-53.8,-52.6,441864000,0.0677,0.0677
2023-07-30,-53.8,-53,441864000,0.205,0.205
2023-07-30,-53.8,-52.7,441864000,1.7483,1.7483
2023-07-30,-53.8,-58.9,725000357,0.313,0
2023-07-30,-53.8,-58.7,725000357,0.3838,0
2023-07-30,-53.8,-59,725000357,0.3208,0
2023-07-30,-53.8,-58.6,725000357,0.2683,0
2023-07-30,-53.8,-58.5,725000357,0.1947,0
2023-07-30,-53.8,-58.8,725000357,0.4877,0
2023-07-30,-53.7,-51.4,440854000,0.4502,0
2023-07-30,-53.7,-51.2,440854000,3.8116,2.8108
2023-07-30,-53.7,-51.3,440854000,0.3369,0.0169
2023-07-30,-53.7,-53.1,441389000,0.618,0.618
2023-07-30,-53.7,-52.8,441389000,0.1291,0.1291
