date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2023-05-30,-63.1,-58,441699000,0.0672,0
2023-05-30,-63.1,-58.2,441699000,11.885,9.9772
2023-05-30,-63.1,-58.1,441699000,4.7922,3.9069
2023-05-30,-63.1,-58.3,441699000,4.8086,3.2402
2023-05-30,-63,-57.8,441699000,0.2822,0
2023-05-30,-63,-58,441699000,0.3386,0
2023-05-30,-63,-58.2,441699000,0.2138,0
2023-05-30,-63,-58.1,441699000,0.3833,0
2023-05-30,-63,-57.7,441699000,0.8844,0.5347
2023-05-30,-63,-57.9,441699000,0.3119,0
2023-05-30,-63,-57.6,441699000,0.033,0.033
2023-05-30,-62.9,-56.2,259539000,0.4166,0.2161
2023-05-30,-62.9,-56.3,259539000,0.2497,0.2497
2023-05-30,-62.9,-57.4,412270039,3.6241,3.4222
2023-05-30,-62.9,-57.1,412270039,6.5727,5.9149
2023-05-30,-62.9,-57.6,412270039,1.8324,1.4772
2023-05-30,-62.9,-57.3,412270039,1.2422,1.2422
2023-05-30,-62.9,-57.5,412270039,4.0313,3.6255
2023-05-30,-62.9,-57,412270039,4.4438,4.2241
2023-05-30,-62.9,-57.2,412270039,2.2502,2.0161
2023-05-30,-62.9,-57.6,440863000,18.2183,13.5211
2023-05-30,-62.9,-57.5,440863000,3.9974,3.1272
2023-05-30,-62.8,-56.4,257400000,3.7172,3.7172
2023-05-30,-62.8,-56.3,257400000,4.7988,4.7988
2023-05-30,-62.8,-56.6,257400000,1.2424,1.2424
2023-05-30,-62.8,-56.5,257400000,1.2272,1.2272
2023-05-30,-62.8,-56.2,259539000,1.3,0.6336
2023-05-30,-62.8,-56.7,259539000,0.3669,0.3669
2023-05-30,-62.8,-56.3,259539000,1.8861,1.2016
2023-05-30,-62.8,-56.1,259539000,0.983,0
2023-05-30,-62.8,-56.4,259539000,1.6649,0.685
2023-05-30,-62.8,-56.6,259539000,2.2447,1.8461
2023-05-30,-62.8,-56.5,259539000,2.7061,1.4558
2023-05-30,-62.8,-57.6,440863000,1.7833,1.3105
2023-05-30,-62.8,-56.3,725001619,7.3386,6.8016
2023-05-30,-62.8,-56.4,725001619,1.9661,1.5836
2023-05-30,-62.8,-56.5,725001619,3.5744,3.3413
2023-05-30,-62.8,-56.6,725001619,2.7586,2.6594
2023-05-30,-62.8,-56.2,725001619,1.2786,1.1816
2023-05-30,-62.7,-56.5,257400000,5.4466,5.4466
2023-05-30,-62.7,-56.4,257400000,6.8036,6.8036
2023-05-30,-62.7,-56.6,257400000,0.0863,0.0863
2023-05-30,-62.7,-56.3,257400000,0.683,0.683
2023-05-30,-62.7,-56.6,259539000,2.4036,2.4036
2023-05-30,-62.7,-56.1,259539000,0.6183,0.5341
2023-05-30,-62.7,-56.5,259539000,3.8047,3.8047
2023-05-30,-62.7,-56.3,259539000,1.9241,1.3833
2023-05-30,-62.7,-56.2,259539000,0.4897,0.0469
2023-05-30,-62.7,-56.4,259539000,2.9413,2.6583
2023-05-30,-62.7,-56.6,725001619,0.5677,0.2913
2023-05-30,-62.7,-56.5,725001619,4.4749,4.4749
2023-05-30,-62.7,-56.4,725001619,1.8463,1.8463
2023-05-30,-62.7,-56.7,725001619,0.1669,0.0838
2023-05-30,-55.8,-70.9,725002460,3.3083,3.3083
2023-05-30,-55.8,-70.8,725002460,0.8702,0.2341
2023-05-30,-55.7,-70.8,725002460,0.2658,0
2023-05-30,-55.7,-70.9,725002460,3.1099,3.1099
2023-05-30,-55.7,-70.7,725002460,0.2827,0
2023-05-30,-55.7,-71,725002460,2.9358,2.7036
2023-05-30,-55.6,-71.2,725000357,2.9352,2.9352
2023-05-30,-55.6,-71.3,725000357,12.9925,12.8261
2023-05-30,-55.6,-71.4,725000357,1.0388,1.0388
2023-05-30,-55.6,-70.8,725002460,0.2186,0
2023-05-30,-55.6,-70.6,725002460,0.2533,0
2023-05-30,-55.6,-71,725002460,1.1469,0.9683
2023-05-30,-55.6,-70.9,725002460,0.3836,0
2023-05-30,-55.6,-71.1,725002460,3.5786,3.3905
2023-05-30,-55.6,-70.7,725002460,0.3147,0
2023-05-30,-55.5,-71.3,725000357,3.6511,3.418
2023-05-30,-55.5,-71,725000357,0.3547,0
2023-05-30,-55.5,-70.8,725000357,0.0163,0
2023-05-30,-55.5,-71.2,725000357,0.3525,0
2023-05-30,-55.5,-70.9,725000357,0.3427,0
2023-05-30,-55.5,-71.1,725000357,0.3336,0
2023-05-30,-55.5,-71.4,725000896,11.3683,11.1119
2023-05-30,-55.5,-71.5,725000896,5.6055,5.2886
2023-05-30,-55.5,-70.7,725002460,0.3322,0
2023-05-30,-55.5,-70.5,725002460,0.2666,0
2023-05-30,-55.5,-70.6,725002460,0.5986,0
2023-05-30,-55.5,-70.8,725002460,0.2155,0
2023-05-30,-55.4,-70.8,725000357,0.3227,0
2023-05-30,-55.4,-70.4,725000357,0.2644,0
2023-05-30,-55.4,-70.7,725000357,0.3108,0
2023-05-30,-55.4,-70.6,725000357,0.4011,0
2023-05-30,-55.4,-70.5,725000357,0.2677,0
2023-05-30,-55.4,-71.1,725000896,0.4336,0
2023-05-30,-55.4,-71.2,725000896,0.2016,0
2023-05-30,-55.4,-71.3,725000896,0.3755,0
2023-05-30,-55.4,-70.7,725000896,0.1983,0
2023-05-30,-55.4,-71.8,725000896,1.2633,1.2633
2023-05-30,-55.4,-71.7,725000896,3.5397,3.5397
2023-05-30,-55.4,-71,725000896,0.3355,0
2023-05-30,-55.4,-70.9,725000896,0.2477,0
2023-05-30,-55.4,-70.8,725000896,0.3666,0
2023-05-30,-55.4,-70.4,725002460,0.1916,0
2023-05-30,-55.4,-70.6,725002460,0.2169,0
2023-05-30,-55.4,-70.5,725002460,0.4863,0
2023-05-30,-55.3,-36.6,665111129,0.0508,0
2023-05-30,-55.3,-70.4,725000357,0.31,0
2023-05-30,-55.3,-70.3,725002460,0.2961,0
2023-05-30,-55.3,-70.4,725002460,0.3736,0
2023-05-30,-55.2,-36.6,665111129,0.2961,0
2023-05-30,-55.2,-36.7,665111129,0.9283,0
2023-05-30,-55.2,-34.4,665111132,5.1341,4.5524
2023-05-30,-55.2,-34.3,665111132,3.8419,3.3944
2023-05-30,-55.2,-72.2,725002300,4.6355,4.6355
2023-05-30,-55.2,-72.4,725002300,0.8816,0.8816
2023-05-30,-55.2,-72.5,725002300,2.1361,2.1361
2023-05-30,-55.2,-72.3,725002300,4.7994,4.7994
2023-05-30,-55.2,-70.3,725002460,0.3269,0
2023-05-30,-55.2,-70.2,725002460,3.9538,1.4305
2023-05-30,-55.1,-36.7,665111129,0.3897,0
2023-05-30,-55.1,-36.8,665111129,1.3099,0
2023-05-30,-55.1,-37,665111129,0.3816,0
2023-05-30,-55.1,-37.3,665111129,0.4136,0
2023-05-30,-55.1,-37.1,665111129,0.3411,0
2023-05-30,-55.1,-37.5,665111129,0.0863,0
2023-05-30,-55.1,-36.9,665111129,0.3366,0
2023-05-30,-55.1,-37.2,665111129,0.3575,0
2023-05-30,-55.1,-37.4,665111129,0.3111,0
2023-05-30,-55.1,-34.3,665111132,4.0424,2.8661
2023-05-30,-55.1,-34.2,665111132,1.9294,1.535
2023-05-30,-55.1,-72.5,725002300,3.1408,2.7305
2023-05-30,-55.1,-72.6,725002300,3.2405,2.888
2023-05-30,-55,-37.5,665111129,0.3266,0
2023-05-30,-55,-37.6,665111129,3.3666,2.2641
2023-05-30,-55,-37.7,665111129,4.2602,3.2724
2023-05-30,-55,-34.2,665111132,5.8161,4.303
2023-05-30,-55,-34.1,665111132,2.7672,2.1147
2023-05-30,-55,-34.3,665111132,0.4691,0
2023-05-30,-55,-72.5,725002300,0.8166,0
2023-05-30,-54.9,-37.9,665111129,4.1738,3.8058
2023-05-30,-54.9,-37.8,665111129,3.9658,3.1283
2023-05-30,-54.9,-38,665111129,1.3694,1.3694
2023-05-30,-54.9,-37.7,665111129,1.3344,1.0647
2023-05-30,-54.9,-68.4,701027000,23.968,0
2023-05-30,-54.9,-63.2,701068000,0.2977,0.2802
2023-05-30,-54.9,-63.1,701068000,0.0944,0
2023-05-30,-54.9,-72.4,725002300,0.1258,0
2023-05-30,-54.9,-72.5,725002300,0.6399,0
2023-05-30,-54.8,-63,701000627,0.0133,0.0133
2023-05-30,-54.8,-63.1,701000627,2.7758,2.7588
2023-05-30,-54.8,-63.2,701000627,0.5766,0.3611
2023-05-30,-54.8,-62.4,701068000,0.533,0.4747
2023-05-30,-54.8,-62.7,701068000,1.9561,1.6622
2023-05-30,-54.8,-62.6,701068000,0.6569,0.6041
2023-05-30,-54.8,-63,701068000,6.8622,6.8622
2023-05-30,-54.8,-63.1,701068000,1.3505,1.2866
2023-05-30,-54.8,-62.5,701068000,0.5366,0.235
2023-05-30,-54.8,-62.3,701068000,0.5969,0.5969
2023-05-30,-54.8,-63.2,701068000,1.4325,1.4325
2023-05-30,-54.8,-62.8,701068000,0.5438,0.5438
2023-05-30,-54.8,-62.2,701068000,0.4661,0.1663
2023-05-30,-54.8,-72.4,725002300,0.7852,0
2023-05-30,-54.7,158.7,503718000,0.5997,0
2023-05-30,-54.7,158.6,503718000,1.7752,0.3563
2023-05-30,-54.7,-63.3,701000627,1.2527,1.0305
2023-05-30,-54.7,-63.2,701000627,2.5477,1.5136
2023-05-30,-54.7,-63,701000627,3.8936,3.4588
2023-05-30,-54.7,-63.1,701000627,2.2116,1.8941
2023-05-30,-54.7,-62.9,701000627,1.1274,0.9283
2023-05-30,-54.7,-61.9,701068000,5.2322,0
2023-05-30,-54.7,-62,701068000,0.5886,0.0497
2023-05-30,-54.7,-62.1,701068000,0.343,0
2023-05-30,-54.7,-72.3,725002300,0.268,0
2023-05-30,-54.7,-72.4,725002300,0.5811,0
2023-05-30,-54.6,158.6,503718000,4.1311,3.2161
2023-05-30,-54.6,158.7,503718000,0.8405,0
2023-05-30,-54.6,-62.9,701000627,0.2822,0
2023-05-30,-54.6,-63,701000627,0.7563,0.2194
2023-05-30,-54.6,-63.2,701000627,0.3866,0
2023-05-30,-54.6,-63.3,701000627,0.1194,0
2023-05-30,-54.6,-63.1,701000627,0.8222,0.4313
2023-05-30,-54.6,-62.1,701068000,0.0561,0.0561
2023-05-30,-54.6,-62,701068000,2.2349,1.9683
2023-05-30,-54.6,-72.2,725002300,0.6797,0
2023-05-30,-54.6,-72.3,725002300,0.6,0
2023-05-30,-54.5,158.8,503718000,0.0566,0
2023-05-30,-54.5,158.7,503718000,2.233,1.2977
2023-05-30,-54.5,158.6,503718000,8.3811,8.0022
2023-05-30,-54.5,-62.8,701000627,0.3677,0
2023-05-30,-54.5,-62.5,701000627,0.3066,0
2023-05-30,-54.5,-63.2,701000627,0.3575,0
2023-05-30,-54.5,-62.9,701000627,0.0666,0
2023-05-30,-54.5,-62.6,701000627,0.35,0
2023-05-30,-54.5,-63.4,701000627,0.1361,0
2023-05-30,-54.5,-62.4,701000627,0.1766,0
2023-05-30,-54.5,-63.3,701000627,0.6772,0
2023-05-30,-54.5,-62.7,701000627,0.3655,0
2023-05-30,-54.5,-63.1,701000627,0.3291,0
2023-05-30,-54.5,-63,701000627,0.2397,0
2023-05-30,-54.5,-62,701068000,0.1672,0.1672
2023-05-30,-54.5,-72.1,725002300,0.6044,0
2023-05-30,-54.4,158.8,503718000,2.9038,2.2486
2023-05-30,-54.4,158.7,503718000,0.4983,0
2023-05-30,-54.4,-62.5,701000627,0.3466,0
2023-05-30,-54.4,-62.7,701000627,0.3533,0
2023-05-30,-54.4,-62.8,701000627,0.3477,0
2023-05-30,-54.4,-62.4,701000627,0.5677,0
2023-05-30,-54.4,-62.2,701000627,0.6363,0
2023-05-30,-54.4,-63,701000627,0.11,0
2023-05-30,-54.4,-62.9,701000627,0.3486,0
2023-05-30,-54.4,-62.6,701000627,0.3519,0
2023-05-30,-54.4,-62.3,701000627,0.7305,0
2023-05-30,-54.4,-72.7,725002350,0.4166,0
2023-05-30,-54.4,-72.6,725002350,0.05,0
2023-05-30,-54.4,-72.5,725002350,0.5672,0
2023-05-30,-54.3,158.8,503718000,2.5836,2.4074
2023-05-30,-54.3,-72.9,725002350,0.5055,0
2023-05-30,-54.3,-72.4,725002350,0.2061,0
2023-05-30,-54.3,-72.8,725002350,0.3808,0
2023-05-30,-54.2,-73,725002350,0.4449,0
2023-05-30,-54.2,-73.1,725002350,0.3955,0
2023-05-30,-54.1,-73.1,725002350,0.1027,0
2023-05-30,-54.1,-73.2,725002350,0.4194,0
2023-05-30,-54.1,-73.3,725002350,0.5144,0
2023-05-30,-54,-73.5,725002350,0.505,0
2023-05-30,-54,-73.6,725002350,0.3227,0
2023-05-30,-54,-73.7,725002350,0.2769,0
2023-05-30,-54,-73.4,725002350,0.3652,0
2023-05-30,-53.9,-39,665111130,0.3097,0
2023-05-30,-53.9,-38.9,665111130,0.5508,0
2023-05-30,-53.9,-38.7,665111130,0.1927,0
2023-05-30,-53.9,-38.8,665111130,0.4227,0
2023-05-30,-53.9,-74,725002350,0.5225,0
2023-05-30,-53.9,-73.8,725002350,0.3508,0
2023-05-30,-53.9,-73.7,725002350,0.1322,0
2023-05-30,-53.9,-73.9,725002350,0.3886,0
2023-05-30,-53.8,-39,665111130,0.3225,0
2023-05-30,-53.8,-38.7,665111130,0.3697,0
2023-05-30,-53.8,-38.6,665111130,0.4802,0
2023-05-30,-53.8,-39.1,665111130,0.1002,0
2023-05-30,-53.8,-74.3,725002350,0.3127,0
2023-05-30,-53.8,-74.1,725002350,0.2888,0
2023-05-30,-53.8,-74.2,725002350,0.4175,0
2023-05-30,-53.7,-38.6,665111130,0.0166,0
2023-05-30,-53.7,-38.3,665111130,0.0858,0
2023-05-30,-53.7,-38.5,665111130,0.4683,0
2023-05-30,-53.7,-38.4,665111130,2.0011,1.25
2023-05-30,-53.7,-74.6,725002350,0.4022,0
2023-05-30,-53.7,-74.7,725002350,0.1669,0
2023-05-30,-53.7,-74.5,725002350,0.3663,0
2023-05-30,-53.7,-74.3,725002350,0.12,0
2023-05-30,-53.7,-74.4,725002350,0.3816,0
2023-05-30,-53.6,-38,665111130,1.5199,0
2023-05-30,-53.6,-38.4,665111130,1.6827,1.4813
2023-05-30,-53.6,-38.2,665111130,5.3661,3.1677
2023-05-30,-53.6,-38.1,665111130,5.9405,3.5724
2023-05-30,-53.6,-37.9,665111130,0.1186,0
2023-05-30,-53.6,-38.3,665111130,4.0502,3.2644
2023-05-30,-53.6,-74.6,725002350,2.2944,1.7822
2023-05-30,-53.6,-74.7,725002350,4.4138,3.8827
2023-05-30,-53.6,-74.8,725002350,2.6908,2.3733
2023-05-30,-53.5,-74.8,725002350,0.438,0
2023-05-30,-53.5,-74.7,725002350,0.2936,0
2023-05-30,-53.4,172.8,512027000,0.58,0
2023-05-30,-53.4,172.9,512027000,0.7722,0
2023-05-30,-53.4,-74.9,725002350,0.343,0
2023-05-30,-53.4,-74.8,725002350,0.308,0
2023-05-30,-53.3,172.8,512027000,1.5308,0
2023-05-30,-53.3,173.1,512027000,2.4647,1.9502
2023-05-30,-53.3,173,512027000,7.0686,5.8336
2023-05-30,-53.3,172.9,512027000,2.1697,0
2023-05-30,-53.3,-74.9,725002350,4.3872,4.098
2023-05-30,-53.2,-70.9,272762000,23.8502,21.6491
2023-05-30,-53.2,-71,441389000,20.4538,0
2023-05-30,-53.2,-70.9,441389000,3.5005,0
2023-05-30,-53.2,172.9,512027000,0.6186,0
2023-05-30,-53.2,173,512027000,4.5291,3.3344
2023-05-30,-53.2,172.8,512027000,0.1663,0
2023-05-30,-53.2,173.1,512027000,4.0672,3.5502
2023-05-30,-53.2,-71,725000261,24.1538,0
2023-05-30,-53.2,-71,725000667,24.2997,0
2023-05-30,-52.5,-68.7,412334078,0.4119,0
2023-05-30,-52.5,-68.4,412334078,0.2752,0
2023-05-30,-52.5,-68.8,412334078,0.4961,0
2023-05-30,-52.5,-68.3,412334078,0.3858,0
2023-05-30,-52.5,-68.2,412334078,0.7222,0
2023-05-30,-52.5,-68.5,412334078,0.5805,0
2023-05-30,-52.5,-68.6,412334078,0.3866,0
2023-05-30,-52.5,-68.7,412334081,0.2838,0
2023-05-30,-52.5,-68.8,412334081,0.5005,0
2023-05-30,-52.5,-68.3,412334081,1.8347,0
2023-05-30,-52.5,-68.6,412334081,0.5008,0
2023-05-30,-52.5,-68.5,412334081,1.0697,0
2023-05-30,-52.5,-68.6,412334082,0.4822,0
2023-05-30,-52.5,-68.4,412334082,0.3941,0
2023-05-30,-52.5,-68.7,412334082,0.4394,0
2023-05-30,-52.5,-68.8,412334082,0.2011,0
2023-05-30,-52.5,-68.3,412334082,0.5052,0
2023-05-30,-52.5,-68.5,412334082,0.4211,0
2023-05-30,-52.5,-68.9,412334082,0.5044,0
2023-05-30,-52.5,-68.4,412440452,0.4161,0
2023-05-30,-52.5,-68.5,412440452,0.3908,0
2023-05-30,-52.5,-68.3,412440452,0.3786,0
2023-05-30,-52.5,-68.7,412440452,0.3702,0
2023-05-30,-52.5,-68.6,412440452,0.4088,0
2023-05-30,-52.5,-68.8,412440452,0.4166,0
2023-05-30,-52.5,-68.9,412440452,0.3325,0
2023-05-30,-52.5,-68.2,412440452,0.4,0
2023-05-30,-52.5,-68.6,412440453,0.3802,0
2023-05-30,-52.5,-68.7,412440453,0.3472,0
2023-05-30,-52.5,-68.3,412440453,0.3927,0
2023-05-30,-52.5,-68.5,412440453,0.4102,0
2023-05-30,-52.5,-68.9,412440453,0.3336,0
2023-05-30,-52.5,-68.8,412440453,0.4336,0
2023-05-30,-52.5,-68.2,412440453,0.333,0
2023-05-30,-52.5,-68.4,412440453,0.6269,0
2023-05-30,-52.5,-68.7,412440555,0.2166,0
2023-05-30,-52.5,-68.9,412440555,0.9294,0
2023-05-30,-52.5,-68.1,412440555,0.2886,0
2023-05-30,-52.5,-68.6,412440555,0.3944,0
2023-05-30,-52.5,-68.4,412440555,0.4669,0
2023-05-30,-52.5,-68.2,412440555,0.4327,0
2023-05-30,-52.5,-68,412440555,0.1455,0
2023-05-30,-52.5,-68.3,412440555,0.4613,0
2023-05-30,-52.5,-68.5,412440555,0.4244,0
2023-05-30,-52.5,-68.4,412440769,0.4005,0
2023-05-30,-52.5,-68.6,412440769,0.383,0
2023-05-30,-52.5,-68.5,412440769,0.3999,0
2023-05-30,-52.5,-68.3,412440769,0.3822,0
2023-05-30,-52.5,-68.7,412440769,0.3669,0
2023-05-30,-52.5,-68.8,412440769,0.4002,0
2023-05-30,-52.5,-68.1,412440769,0.4311,0
2023-05-30,-52.5,-68.2,412440769,0.4008,0
2023-05-30,-52.5,-69,412440769,0.1813,0
2023-05-30,-52.5,-68.9,412440769,0.4016,0
2023-05-30,-52.5,-68.6,412440771,0.3988,0
2023-05-30,-52.5,-68.4,412440771,0.4155,0
2023-05-30,-52.5,-68.9,412440771,0.4341,0
2023-05-30,-52.5,-68.5,412440771,0.4119,0
2023-05-30,-52.5,-68.8,412440771,0.383,0
2023-05-30,-52.5,-68.2,412440771,0.4388,0
2023-05-30,-52.5,-68.7,412440771,0.4008,0
2023-05-30,-52.5,-68.3,412440771,0.4169,0
2023-05-30,-52.5,-69,412440771,0.0166,0
2023-05-30,-52.5,-68.5,412440772,0.4327,0
2023-05-30,-52.5,-68.8,412440772,0.393,0
2023-05-30,-52.5,-68.2,412440772,0.4213,0
2023-05-30,-52.5,-68.7,412440772,0.3747,0
2023-05-30,-52.5,-68.3,412440772,0.4227,0
2023-05-30,-52.5,-68.6,412440772,0.3997,0
2023-05-30,-52.5,-68.4,412440772,0.3883,0
2023-05-30,-52.5,-68.1,412440772,0.4013,0
2023-05-30,-52.5,-68.9,412440772,0.3158,0
2023-05-30,-52.5,-68,412440772,0.3163,0
2023-05-30,-52.5,-68.9,412440773,0.3455,0
2023-05-30,-52.5,-68.3,412440773,0.4213,0
2023-05-30,-52.5,-68.2,412440773,0.3769,0
2023-05-30,-52.5,-68.6,412440773,0.395,0
2023-05-30,-52.5,-68.7,412440773,0.3997,0
2023-05-30,-52.5,-68.5,412440773,0.4161,0
2023-05-30,-52.5,-68.8,412440773,0.3833,0
2023-05-30,-52.5,-68.4,412440773,0.4224,0
2023-05-30,-52.5,-68.8,412440774,0.3691,0
2023-05-30,-52.5,-68.6,412440774,0.3766,0
2023-05-30,-52.5,-68.1,412440774,0.1905,0
2023-05-30,-52.5,-68.4,412440774,0.4011,0
2023-05-30,-52.5,-68.3,412440774,0.4777,0
2023-05-30,-52.5,-68.7,412440774,0.3813,0
2023-05-30,-52.5,-69,412440774,0.0161,0
2023-05-30,-52.5,-68.5,412440774,0.4152,0
2023-05-30,-52.5,-68.2,412440774,0.3266,0
2023-05-30,-52.5,-68.9,412440774,0.3952,0
2023-05-30,-52.5,-68.1,412440775,0.4041,0
2023-05-30,-52.5,-68.4,412440775,0.4158,0
2023-05-30,-52.5,-68.9,412440775,0.4113,0
2023-05-30,-52.5,-68.5,412440775,0.4161,0
2023-05-30,-52.5,-68.7,412440775,0.3461,0
2023-05-30,-52.5,-68.2,412440775,0.3941,0
2023-05-30,-52.5,-69,412440775,0.1336,0
2023-05-30,-52.5,-68.8,412440775,0.4427,0
2023-05-30,-52.5,-68.3,412440775,0.418,0
2023-05-30,-52.5,-68,412440775,0.0283,0
2023-05-30,-52.5,-68.6,412440775,0.3827,0
2023-05-30,-52.5,-68.2,412440776,0.5291,0
2023-05-30,-52.5,-68.6,412440776,0.3683,0
2023-05-30,-52.5,-69,412440776,0.1552,0
2023-05-30,-52.5,-68.1,412440776,0.3216,0
2023-05-30,-52.5,-68,412440776,0.1508,0
2023-05-30,-52.5,-68.5,412440776,0.41,0
2023-05-30,-52.5,-68.7,412440776,0.4225,0
2023-05-30,-52.5,-68.8,412440776,0.3666,0
2023-05-30,-52.5,-68.3,412440776,0.3988,0
2023-05-30,-52.5,-68.4,412440776,0.4169,0
2023-05-30,-52.5,-68.9,412440776,0.3494,0
2023-05-30,-52.5,-68.2,412440777,0.5272,0
2023-05-30,-52.5,-68.8,412440777,0.3875,0
2023-05-30,-52.5,-68.5,412440777,0.4508,0
2023-05-30,-52.5,-68.3,412440777,0.3838,0
2023-05-30,-52.5,-68.7,412440777,0.383,0
2023-05-30,-52.5,-68.6,412440777,0.3502,0
2023-05-30,-52.5,-68.9,412440777,0.4169,0
2023-05-30,-52.5,-68.4,412440777,0.4041,0
2023-05-30,-52.5,-68.1,412440777,0.2294,0
2023-05-30,-52.5,-69,412440778,0.2769,0
2023-05-30,-52.5,-68.9,412440778,0.4727,0
2023-05-30,-52.5,-68.8,412440778,0.3819,0
2023-05-30,-52.5,-68.5,412440778,0.3988,0
2023-05-30,-52.5,-68.3,412440778,0.1444,0
2023-05-30,-52.5,-68.7,412440778,0.4011,0
