date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2023-08-12,-55.4,158.3,503718000,3.8533,3.5644
2023-08-12,-55.3,158.4,503718000,2.3486,2.1211
2023-08-12,-55.3,158.3,503718000,3.6561,3.4122
2023-08-12,-55.3,158.5,503718000,2.2488,1.3494
2023-08-12,-55.2,158.4,503718000,8.3974,6.5711
2023-08-12,-55.2,158.5,503718000,1.2,0.408
2023-08-12,-55.1,158.5,503718000,1.4405,0.2808
2023-08-12,-55.1,158.6,503718000,0.1322,0
2023-08-12,-55.1,158.4,503718000,0.7194,0.4694
2023-08-12,-55,-38.4,665111132,2.7349,1.9063
2023-08-12,-55,-38.3,665111132,3.3958,2.5013
2023-08-12,-55,-38.2,665111132,4.9927,3.3141
2023-08-12,-55,-38.1,665111132,0.5436,0
2023-08-12,-54.9,-38.4,665111132,0.205,0
2023-08-12,-54.9,-38,665111132,3.4383,2.7024
2023-08-12,-54.9,-38.2,665111132,2.228,2.1438
2023-08-12,-54.9,-38.6,665111132,0.9388,0
2023-08-12,-54.9,-37.9,665111132,1.8208,1.6497
2023-08-12,-54.9,-38.5,665111132,1.0233,0
2023-08-12,-54.9,-38.1,665111132,2.6797,2.6197
2023-08-12,-54.3,-36.5,257400000,7.9994,0
2023-08-12,-54.3,-36.6,257400000,12.518,0
2023-08-12,-54.2,-36.2,257400000,0.0797,0
2023-08-12,-54.2,-36.4,257400000,0.4463,0
2023-08-12,-54.2,-36.3,257400000,0.353,0
2023-08-12,-54.2,-36.5,257400000,0.1158,0
2023-08-12,-54.2,-64.8,701000627,0.4538,0
2023-08-12,-54.1,-36.2,257400000,0.3047,0
2023-08-12,-54.1,-36,257400000,0.3683,0
2023-08-12,-54.1,-36.1,257400000,0.3997,0
2023-08-12,-54.1,-64.8,701000627,0.528,0
2023-08-12,-54.1,-51.7,725000357,3.7341,2.9886
2023-08-12,-54.1,-51.8,725000357,3.5277,3.0791
2023-08-12,-54,-35.7,257400000,0.1502,0.1158
2023-08-12,-54,-36,257400000,0.0222,0
2023-08-12,-54,-35.8,257400000,0.7322,0
2023-08-12,-54,-35.9,257400000,0.5105,0
2023-08-12,-54,-64.8,701000627,0.375,0
2023-08-12,-54,-51.8,725000357,1.8322,0.648
2023-08-12,-54,-52,725000357,4.2869,2.9586
2023-08-12,-54,-52.1,725000357,0.4088,0
2023-08-12,-54,-51.9,725000357,7.1166,1.8461
2023-08-12,-53.9,-36.3,259539000,1.9599,1.6808
2023-08-12,-53.9,-36.2,259539000,3.0697,2.5422
2023-08-12,-53.9,-36.1,259539000,10.2536,10.0802
2023-08-12,-53.9,-35.9,259539000,0.1661,0.1661
2023-08-12,-53.9,-36,259539000,2.3247,2.3247
2023-08-12,-53.9,-36.4,259539000,0.2033,0.2033
